Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 8.640364176989896805e+01 2.667312551189633179e+10 -1.178565832272125244e+11 -5.135172303856407166e+09 1.994924809789368737e+04 -1.308753633206957602e+03 6.532750738201532386e+02 5.138184336904390156e+07 8.334036417698989681e+02 8.322297349711935425e+10 3.828022797298040458e-02 9.994780162064880180e-01 3.156648640148648433e+00 -6.565372646803919743e-01 5.673563768470011759e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.090134267821849789e+01 9.368692649533569336e+10 1.891923755654094543e+11 -1.429242973156402397e+10 -8.202081658411938406e+03 -1.572969923744218977e+04 -1.938677273924562542e+03 6.213381339824542403e+07 8.179013426782184979e+02 1.509084121511873474e+11 1.229930318186815835e-01 9.999353792915720573e-01 2.594718034029185105e+00 -1.918618875216503650e+00 2.541664619686320403e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.250963463528717057e+01 2.494396659115820923e+11 -1.680011463857428589e+11 -1.602460422451528740e+10 7.695725241122954685e+03 4.334982892186709796e+04 -7.136758402206265828e+02 2.834641159705772251e+07 7.895096346352871706e+02 1.387743057594099426e+11 2.438896632142446841e-01 9.969386978032149793e-01 3.203614511606859505e+00 1.321452053506112057e+00 1.719289953050240349e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.950604523696028991e+01 1.044943230715716553e+10 1.709385184603302307e+11 -3.730824344062849426e+10 -1.294093402272523599e+04 -1.351205910098327149e+04 -9.235299848764764192e+02 4.418505048334452510e+07 8.165060452369602899e+02 8.320069918495730591e+10 1.362871468326038449e-01 9.909727777354293554e-01 3.912286568442013390e+00 1.869152173705532771e+00 -4.804845736015568747e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.921833504250798796e+01 -3.387545361385402832e+11 9.664411849562701416e+10 1.591036217185407639e+09 -1.587158014379385713e+04 -3.572692184034188540e+04 -8.160276457493124553e+02 5.672705604963839799e+07 8.362183350425079880e+02 7.644224384917282104e+10 3.020083130845696573e-02 9.996819163574816036e-01 3.386338483194768934e+00 1.522126104456506424e+00 9.954804689633586223e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.096471863233626891e+02 -1.491420545098727112e+11 -6.480820754733184814e+10 1.101390554112238312e+10 1.258478129101728700e+04 5.358307997296953545e+03 -3.460034772904646161e+03 7.545657021199952066e+07 8.566471863233626891e+02 6.318474814585848999e+10 2.442616061879529510e-02 9.784289666604977231e-01 3.345944214922774940e+00 2.221199063205328561e-01 -3.174709645794567270e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.949976879375117278e+01 -2.396946546490225220e+11 1.663440287966672058e+11 7.671137665469736099e+09 -2.764465863995815016e+04 -4.715310572627218789e+04 -2.461115352351177080e+03 4.225765494973724335e+07 7.964997687937511728e+02 3.761848091712295532e+10 1.184456516990757963e-01 9.965704572104697734e-01 -2.456334680624515432e+00 -2.828512023175935752e+00 2.508561198121353364e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.612170303048026199e+01 3.594933126549637451e+11 -4.363953871300426025e+11 -1.734223232884845734e+10 3.201127119881199542e+04 3.380522865212293254e+04 -2.438356353291576397e+03 7.496047507762971520e+07 8.331217030304802620e+02 2.277080803060114136e+11 3.389474944585529892e-01 9.903996495446740767e-01 4.477133591744591357e+00 5.064331748934025601e-01 2.778923707464273640e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.018064943072936330e+02 1.539741792426552734e+11 -4.015423154163913574e+11 1.260692436787470245e+10 3.156157760727295681e+04 -6.468363270028303305e+03 6.147778459598894187e+03 7.193692443648412824e+07 8.488064943072936330e+02 1.888392170747297363e+11 2.428151750783540952e-01 9.787639814771452729e-01 1.186336508039130599e+00 5.555478574921699497e+00 6.145700111158317602e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.268469051320369090e+01 -9.348116120237077332e+10 -4.034242297663547363e+11 -3.243988981293555832e+10 5.329957360074725875e+04 9.869940722024186471e+03 7.889079401485361132e+02 2.451252445798655599e+07 7.796846905132036909e+02 2.868355608442767334e+11 4.519501790730225954e-01 9.929581565932217302e-01 -2.976279750613452624e+00 -7.551752334415846590e-01 -2.644421274963012269e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.306328791480279961e+01 2.455242112929022217e+10 -2.914200821394609985e+11 1.382832685282130432e+10 3.468095386440638686e+04 2.426638135298654379e+04 -1.857915750720304914e+03 1.867948908188929036e+07 7.700632879148027996e+02 1.455491087705032959e+11 2.759713621010972395e-01 9.979080216301146056e-01 1.043805188841011811e+00 4.382402186253235854e-01 -3.287728744552360194e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.847281825932805077e+01 -7.015902370174755859e+10 -3.822653445182255859e+11 -1.443608139186916351e+10 5.173514297994440130e+04 -3.209916217088708891e+03 -2.479128664936395126e+03 4.627220777436520904e+07 8.054728182593280508e+02 6.495285568532934570e+10 1.705910052854880954e-02 9.999723306681094215e-01 1.944282693087662217e-03 -3.890664639867128294e+00 7.997509807284289840e-01 0.000000000000000000e+00
0.000000000000000000e+00 9.616981746928058783e+01 -6.202113747539026642e+10 6.337093816603800964e+10 4.504606746038382721e+10 -1.377860212279407097e+04 -2.058999294295318396e+04 -1.287339099963016679e+03 5.125101190673332661e+07 8.431698174692805878e+02 2.505353631856768799e+10 1.957871503956968851e-01 9.771129205396047457e-01 -1.131319269401853900e+00 6.030303053940167857e+00 1.352901840557958479e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.751308123357659952e+01 2.552517121015233765e+11 -1.291173299530628967e+11 2.556962752024558544e+09 1.023796149546643937e+04 4.052524898790640145e+04 -5.312767861590932625e+02 2.094972674185675755e+07 7.745130812335765995e+02 7.186347780288970947e+10 2.637156933316237711e-02 9.996649888197230993e-01 1.417529432291407154e+00 -2.551180209663988396e+00 -1.494648454099068158e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.582912343159955526e+01 1.487248691042377319e+11 -1.214150447798666382e+10 6.729994619410732269e+09 -1.021512977730266721e+04 2.038073578817061571e+04 1.591364069518472206e+03 3.197906030474035814e+07 7.728291234315995553e+02 9.786012585822906494e+10 1.284350749653154211e-01 9.997606467243563833e-01 -3.323892956020960465e+00 1.668455950394236220e+00 1.182221259537819869e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.559356415099933884e+02 4.283646544592435913e+11 2.835037807816793823e+11 -1.036782620379841995e+10 -2.356955718442771467e+04 3.949081057287188014e+04 1.235184580169549463e+03 7.757796498992985487e+07 9.029356415099933884e+02 1.408309972879697876e+11 1.214473232453662788e-01 9.988892342562236681e-01 2.624451176865495228e+00 -2.350224360559880932e+00 1.538958654031922363e-02 0.000000000000000000e+00
0.000000000000000000e+00 5.001201409425141264e+01 -1.761431425898167725e+11 -1.515132088171149597e+11 5.097746719504002571e+09 1.769590985517676017e+04 -2.420753717559696815e+04 3.832929860470389940e+02 5.606006608567186445e+07 7.970120140942514126e+02 5.478209850405166626e+10 2.452113135429757618e-01 9.999999949314015701e-01 -7.548563821513258887e-01 -2.021730732529042118e+00 5.840509467361624907e+00 0.000000000000000000e+00
