Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 -246565541171.9581 277336532317.2907 22953199966.434204 -40525.939645448714 -32370.135335078747 -1610.8707311387197 66780886.945323616 828.247147944009 78346015354.33807 0.07670979752025793 0.9994814887221407 -2.2777744599525684 0.06387705880767225 3.5978564388111307
0.0 161832974459.19025 -230833420599.85956 -21718214146.311523 27685.87931219725 35218.68288227402 -1819.362857952271 30860695.411685985 792.1554858858457 78346005499.6831 0.07671027923929954 0.9994815697777273 -2.277773702903314 0.0638117665295308 2.7830356041491733
0.0 97025465091.97098 -1834192532.9221191 -7057370954.14692 -8408.221344109272 13245.979565098049 4454.594870475245 56929674.557988256 840.4202044322443 78345987966.14362 0.0767083534741363 0.9994813588343602 -2.2777086791667935 0.06376642911288144 5.358117247200926
0.0 147197244804.59543 -348294304168.64343 -7493800252.773695 41166.46977071643 25488.430806555538 -4982.751292358028 48061737.33763094 830.0123214641015 78346015814.44904 0.07671040584098336 0.9994815654417475 -2.277788929470487 0.06386405128780304 -0.9458591239253398
0.0 147764535892.6609 -159164141079.31235 5883011024.688683 16910.491868208937 32942.1412307376 -2869.2355480042224 58665878.99842833 829.0062719200789 78345986960.99347 0.0767082355987512 0.9994813457860209 -2.2777047804564683 0.0637640203419716 -0.3423175870824333
0.0 -66862595213.39694 315803049126.74194 33665954582.446163 -41357.14621082795 5804.844066979542 -1545.4022339930775 27359685.32504443 790.3569372163273 78345987219.0849 0.07670922031070643 0.9994814709562222 -2.2777276210340744 0.06374034543884122 -1.8144735829012089
0.0 -399951156425.1411 113778107153.39648 10547946575.86411 -18610.34300143963 -40449.064701269344 -511.9068577674214 63534879.22949798 836.8620176344389 78346012719.37482 0.07670972967114421 0.9994814852981712 -2.277769757752102 0.06386460616244971 3.1753284497285907
0.0 -9699026436.597824 -258167942988.10477 -15434936258.101175 36690.80085384316 14201.866434749048 -2000.2186589112944 34702714.488919124 787.1840229277462 78345967697.88977 0.0767077467878959 0.9994813216709161 -2.2776705695271846 0.06367280091536998 3.105410165645112
0.0 -350060310232.9723 260094000734.11133 -36586063390.38828 -30199.894747308077 -46347.69538858702 1422.0371176815606 26691133.501544252 781.1801142283261 78345989500.08234 0.07670938662813334 0.9994814876505651 -2.2777341532648365 0.06374838697240115 -2.3975026394542858
0.0 -401201903569.2149 -143223243472.80054 4253856179.9881115 12566.279133997934 -44521.379849250035 -315.33316486653723 25345907.19866232 774.3931627199644 78345993722.7713 0.07670969784971224 0.9994815189798245 -2.2777463221637233 0.0637631891551731 -3.386631685645516
0.0 -63002923611.62274 295523608171.9282 7895008396.535109 -12729.537713046251 11569.343189740885 937.6356310947843 52716149.79527213 836.8777642115066 78346002504.3377 0.07670941204595998 0.9994814650568665 -2.2777502794165585 0.06381772018047549 1.897513494595695
0.0 9811224683.817993 472449460407.07385 3755183934.508151 -25073.77367962277 -33977.05601096956 937.5148310107606 47956410.313857906 816.6617420616518 78346025914.09662 0.07671105395609754 0.999481628084175 -2.277815832110491 0.06390190439508725 -2.736715560003555
0.0 104638806007.30855 169235816651.50784 -49445289029.13173 -4369.586893492224 25337.17717114594 3187.7816437676674 71298399.06380785 840.769261531138 78346012751.71082 0.07670949162689611 0.9994814548532326 -2.2777643495028466 0.06387083909125035 -1.3705010479387851
0.0 166824122233.75778 109265985548.48851 -27016902171.449314 -23309.641628927995 -3766.939816974933 1441.140192539853 26327426.482075684 780.9174883323651 78345972716.56415 0.07670832625737767 0.9994813856624734 -2.2776898279203857 0.06368505886910025 0.42149796940006823
0.0 -116582974777.17114 34550020745.34747 21658712472.135765 1554.170371347529 -12464.832141989054 -958.0830657791136 67701491.0378403 844.5859298385183 78345995208.89883 0.07670848277151913 0.9994813609460234 -2.2777202953110667 0.06380211376246336 -5.880133359111146
