Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 1.089963445758230591e+02 -2.627968804554309082e+11 1.399967825980321045e+11 1.302528068613184166e+10 1.311970861943817727e+04 -2.087150897725542745e+04 -7.504150812964270472e+02 8.387247588473683596e+07 8.559963445758230591e+02 4.156285212787380981e+10 -3.982803757194250488e+10 -6.602355478475614548e+09 -2.923303326641897002e+03 1.619626108301912609e+03 1.684521659399214059e+03 0.000000000000000000e+00
0.000000000000000000e+00 1.465901066972821809e+02 8.506647988466323853e+10 -2.855094306498980713e+10 -5.790849116576380157e+10 -4.453096309124379331e+03 3.752236098736733766e+03 2.772112471104338510e+03 1.120568507351104170e+08 8.935901066972821809e+02 -2.072029768024125061e+11 -2.201075788060760498e+11 4.101420784269475937e+09 3.959746990168066986e+04 -1.500560925229344684e+04 -6.018091055410808622e+03 0.000000000000000000e+00
0.000000000000000000e+00 7.086827914989737565e+01 -3.767528715869596863e+10 2.821674533472156982e+11 2.286383840215953827e+10 -4.839233986160549102e+04 4.110290636060750330e+03 3.282034096709848200e+03 3.819029003664022684e+07 8.178682791498973756e+02 -2.771201687500954590e+11 -2.351657975913540955e+11 -5.574170004767777920e+08 2.976249409141405704e+04 -3.756051531386601710e+04 -4.585104737069571456e+03 0.000000000000000000e+00
0.000000000000000000e+00 8.034514087674847360e+01 4.538133878622335815e+10 1.211429088902837830e+11 -6.274446233490772247e+08 -4.244164513116747912e+03 -1.083615035738897859e+04 5.626024953344902315e+03 7.532892237341290712e+07 8.273451408767484736e+02 -1.517665798409173584e+11 -3.979336394484713745e+10 -8.284328749661806822e+08 -7.505550735338696541e+03 -1.605881358015402657e+04 -4.098348025942419554e+03 0.000000000000000000e+00
0.000000000000000000e+00 1.316162205038020829e+02 -4.907098452005939484e+10 8.209125895308419800e+10 1.590087165080424118e+10 7.022099402314826875e+03 8.996290458684934492e+02 5.759362131240766303e+01 9.594469912783274055e+07 8.786162205038020829e+02 7.208826927250456238e+10 2.492642356739743652e+11 -1.384901145734793186e+09 -3.631895975997723872e+04 1.438597130341451702e+03 3.710613994839290626e+03 0.000000000000000000e+00
0.000000000000000000e+00 1.036958472582118702e+02 3.313650414234096680e+11 8.424528062800793457e+10 -1.683547073434046745e+10 -3.851785281955108076e+03 4.872546856695548922e+04 -4.402565909841354369e+03 8.835492116561441123e+07 8.506958472582118702e+02 1.388947631191362610e+11 -1.701936153687980652e+10 -1.656223888088177443e+09 1.660017929790611379e+04 1.134941561939452913e+04 -7.969075561165651379e+03 0.000000000000000000e+00
0.000000000000000000e+00 6.676274169778639589e+01 2.842791972544152832e+10 1.275996584081086121e+11 3.249389939411763000e+10 -1.042495232669714460e+04 -7.535812203165380197e+03 4.762792958207613992e+03 5.195755109965854883e+07 8.137627416977863959e+02 -3.060511849460770874e+11 -2.931008222775907898e+10 7.668111081413382530e+09 2.117871336063052149e+04 -3.586535909916231321e+04 -4.937612619653098591e+03 0.000000000000000000e+00
0.000000000000000000e+00 9.365264062716107674e+01 -1.660757773848452759e+11 1.654278810691828003e+11 -5.651930838115452766e+09 -2.954224070083316110e+04 -6.418742130885906590e+03 3.445579114715740616e+03 6.570692510732422769e+07 8.406526406271610767e+02 1.852689086721121826e+11 1.540282425002392578e+11 -5.037217142640727043e+09 -3.046806161164736477e+04 2.026561724467293971e+04 5.520028626166117647e+02 0.000000000000000000e+00
0.000000000000000000e+00 7.768082713549154050e+01 -1.047371921855937347e+11 -9.456894293188015747e+10 -4.365568776470810890e+09 1.891390797558214399e+04 -1.728113575912202214e+04 -1.748354779368506115e+03 5.467715488696973771e+07 8.246808271354915405e+02 -2.611599775493079834e+11 2.963275815436533203e+11 7.721099979661008835e+09 -3.381710334810768836e+04 -3.298076689254585654e+04 -2.454945843834204027e+02 0.000000000000000000e+00
0.000000000000000000e+00 1.291371859052492255e+02 8.154097394632501221e+10 -1.632936402010370483e+11 2.518126531806802368e+10 1.796385438220141077e+04 2.843574126821271057e+04 -3.399673158829878048e+03 8.052838714133358002e+07 8.761371859052492255e+02 -3.158058081780479736e+11 -3.778767514093803406e+10 7.533935003669638634e+09 1.856142026951342996e+04 -3.570183073200604122e+04 2.702244928185943081e+03 0.000000000000000000e+00
