Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 1.640293261403048746e+02 8.432592588409411621e+10 -4.351162958928060303e+11 -4.059641331353684235e+10 4.965370646675737225e+04 1.119405534633143589e+03 1.276731052433496188e+03 1.183442384954544008e+08 9.110293261403048746e+02 7.834604253052575684e+10 7.670993796349336036e-02 9.994814526508526420e-01 -2.277810158420830788e+00 6.401972810237310796e-02 5.403011500629304464e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.882428691377629093e+01 9.409804987836689758e+10 -2.332580236469990540e+11 -4.085833459419420719e+09 2.848414955290458238e+04 3.438744611821038416e+04 8.610747801825286842e+02 2.166378527268694341e+07 7.758242869137762909e+02 7.834599934186065674e+10 7.671017050589579167e-02 9.994815681353993453e-01 -2.277763854168331825e+00 6.378139684628525430e-02 1.401044602601952516e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.183305017007905917e+02 -2.898304191776984863e+11 7.327072130358294678e+10 1.522667721399373245e+10 -1.277997427119491840e+04 -3.707295628534270509e+04 6.922732928742906324e+02 1.146140423722355366e+08 8.653305017007905917e+02 7.834607982457431030e+10 7.671243453718155914e-02 9.994816971569072672e-01 -2.277911863917615687e+00 6.415687456580432269e-02 -1.253256889897386595e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.437230495320152386e+02 3.093910099997334595e+11 1.805716814528230286e+11 -1.338200681708535957e+10 -3.192130457514086811e+04 3.713452735041241976e+04 -8.173117886555096447e+02 1.063147193592550606e+08 8.907230495320152386e+02 7.834605352099612427e+10 7.671101174668994160e-02 9.994815678530064584e-01 -2.277847865988978260e+00 6.405154052916728347e-02 6.999593455417506549e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.487561361133361970e+02 -2.822135915679505920e+10 2.568330998960883789e+11 -3.800903600425171852e+09 -3.620355420107503596e+04 3.827692531611421145e+03 1.374753552859291176e+03 8.728483745179848373e+07 8.957561361133361970e+02 7.834606029644418335e+10 7.671203290887501636e-02 9.994816847010520311e-01 -2.277879331092302451e+00 6.406200989596033679e-02 1.673735189962523018e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.837918505336142516e+01 2.749508675793000488e+11 -1.291072020258882446e+11 -6.599073154629354095e+10 1.107178896720007106e+04 4.329816677486744447e+04 3.928935999775792425e+03 1.803139900563672930e+07 7.753791850533614252e+02 7.834600029203048706e+10 7.671034351565383935e-02 9.994815883261465306e-01 -2.277768948737546317e+00 6.378210642288362209e-02 4.174053097837638338e-01 0.000000000000000000e+00
0.000000000000000000e+00 8.659977299201068490e+01 5.103576547981597900e+10 3.271611102786262207e+11 5.219019157323559570e+10 -3.303130662012886023e+04 -1.090388814834786717e+04 2.200772791365754074e+03 5.460963041810379922e+07 8.335997729920106849e+02 7.834602750896591187e+10 7.671095001799549395e-02 9.994816116524162242e-01 -2.277815360225898367e+00 6.391313243626051133e-02 -1.351002340914061239e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.623357535470836410e+01 -3.781105942143357544e+11 2.997701687696276474e+10 6.277258266969854736e+10 -1.635291044167328437e+03 -5.356750118447934801e+04 -4.557462133981560328e+03 2.455098423185135052e+07 7.732335753547083641e+02 7.834599254951138306e+10 7.670964752290233835e-02 9.994815148880348277e-01 -2.277743768143610126e+00 6.375815642308246822e-02 -3.409373380840305945e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.140670783550908709e+02 -7.350444760650344849e+10 -2.356848908342460327e+11 8.650893079388336182e+10 2.575756095983878913e+04 7.142579618883417425e+03 -1.495166039873829732e+03 1.136122171567977816e+08 9.610670783550908709e+02 7.834607286558633423e+10 7.671202119348061177e-02 9.994816582376014891e-01 -2.277894087456182604e+00 6.412994676470162858e-02 -2.935853505148076081e-01 0.000000000000000000e+00
0.000000000000000000e+00 9.318415352268721108e+01 -1.047382284257401733e+11 7.274689500380462646e+09 -5.360507050487419128e+09 1.703842433503747452e+04 -1.732924242873263574e+04 6.388260529503357930e+02 5.635675253622615337e+07 8.401841535226872111e+02 7.834598769273519897e+10 7.670835373639578458e-02 9.994813594111715549e-01 -2.277708358351194562e+00 6.376495113823832384e-02 5.267809934992470744e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.416397415701745786e+02 -2.356034583394178009e+10 -3.714975734094477539e+11 -8.758133865713249207e+09 5.241017267474617984e+04 1.559988843287552299e+03 -3.739502516977376672e+03 1.211791263894182593e+08 9.886397415701745786e+02 7.834608918750164795e+10 7.671282931164459529e-02 9.994817289302908581e-01 -2.277932089011228456e+00 6.419721139303113944e-02 -1.265420144779306755e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.553761688771877516e+02 -2.216263929778224182e+11 -2.968409034515202026e+11 5.879889207811967850e+09 1.649943129613611382e+04 -3.538695106457055226e+04 -7.393150772716708161e+02 9.884554958512537181e+07 9.023761688771877516e+02 7.834607207907705688e+10 7.671242767639109561e-02 9.994817116673595514e-01 -2.277902448405129121e+00 6.411536813138507540e-02 2.488419886901266143e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.233818800983946176e+02 -3.587834147578940430e+11 1.026886901207044983e+10 -7.041531852333683014e+09 6.597305558778017257e+03 -5.103446445948137261e+04 -6.704927958987404963e+02 8.407500202126018703e+07 8.703818800983946176e+02 7.834602670044464111e+10 7.670998709399511062e-02 9.994814903735106393e-01 -2.277792360245131764e+00 6.393329072750564279e-02 -2.835318257058405678e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.289060261860248602e+02 -1.180335304635252991e+11 6.685192792102957153e+10 -1.576359994087932968e+10 -7.165430490038048447e+03 -2.367132388713678301e+04 3.479961586790735055e+03 1.084441819620171040e+08 8.759060261860248602e+02 7.834603301903253174e+10 7.670963684664819371e-02 9.994814331178967226e-01 -2.277791898802922876e+00 6.397620793346359136e-02 4.638729527442214007e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.609774242919525022e+01 1.596357720261253662e+11 -6.230254885393112183e+10 3.119144722227669525e+10 -6.761504171095933998e+03 2.550981944554844813e+04 4.141226314065106635e+03 3.935645107292138040e+07 8.230977424291952502e+02 7.834597596219869995e+10 7.670813052997517423e-02 9.994813542306629772e-01 -2.277689228953762690e+00 6.370750652429713057e-02 3.115207765172157472e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.713081815331611324e+01 1.269642256158514557e+11 1.949826956110870361e+10 2.004732552761812210e+10 -1.566634996314843011e+04 9.874279518220506361e+03 -1.214838857962491602e+03 2.022358587186393887e+07 7.741308181533161132e+02 7.834596779405294800e+10 7.670820073605306988e-02 9.994813794224416403e-01 -2.277681071666912693e+00 6.366176410390167462e-02 -3.167803532855915094e-01 0.000000000000000000e+00
