Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 1.152118794800526302e+02 4.016201707639598846e+10 -1.077892101125224609e+11 -2.462763116625309944e+09 9.174984959002060350e+03 2.017352543955744477e+04 -7.360770411337314272e+02 6.309644972107744962e+07 8.622118794800526302e+02 7.368584652109243774e+10 1.015333214081311775e-01 9.994840573441841070e-01 1.307421215714357654e+00 -3.325028474519239108e+00 1.230066873663437477e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.953322794361213255e+01 2.322265347900390625e+05 8.340096937561035156e+04 4.934941813707351685e+04 4.072380429416708012e+03 2.589366314706345293e+03 4.317937725413084991e+02 3.167985930890527368e+07 7.965332279436121325e+02 5.411308889544763184e+10 1.604579173825453897e-01 9.994985243550744691e-01 6.432127713114271783e-01 -4.085555191983589296e+00 1.990228277970669701e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.284157449745453050e+01 -2.531999431027221680e+07 -3.248527210247802734e+07 -4.761294581182241440e+06 5.604114744503418478e+03 8.306232689925711384e+03 9.682942867222660652e+02 2.531246026361132413e+07 7.798415744974545305e+02 9.505297101207031250e+09 3.099363256558015367e-01 9.996722084119674667e-01 2.034324815354151550e+00 -1.374936960913525130e+00 -3.648843086705346295e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.022188495056661850e+01 -5.743819328461303711e+08 6.322939343340759277e+08 2.483230330689532280e+09 6.205422488887237705e+03 -8.195766420781037596e+02 4.567798961987060466e+03 4.732967567291925848e+07 8.172218849505666185e+02 5.076212070450521851e+10 2.349337568143767818e-01 9.964762231023652772e-01 2.069078135329495804e+00 -6.064760443970942383e-01 3.759405703211089467e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.266875445255891464e+01 7.071685099105834961e+06 -6.567430306503295898e+06 2.296026444911766052e+07 2.623694503577291471e+03 6.802832683253418509e+03 3.512947511931836743e+03 5.351994153752543777e+07 8.096687544525589146e+02 4.198160548271334839e+10 3.094919838537312229e-01 9.951640685781201201e-01 1.833115613905506258e+00 -3.609075267772775764e+00 -2.847323257946339670e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.023595379091023005e+01 2.623924877929687500e+04 1.756994497985839844e+05 -7.505092447175830603e+04 3.433038960041543760e+03 1.095845228757061705e+02 -5.521171888793980997e+02 3.293935260136511922e+07 7.872359537909102301e+02 3.935023151079934692e+10 1.603192999488452786e-01 9.998826058119065774e-01 6.713357787453627656e-01 6.216210606307748243e-01 5.143340861833519462e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.274240427894221739e+01 1.792519711151123047e+06 2.176345688476562500e+05 2.855586927917480469e+06 1.535415270236313518e+03 4.542708519116735260e+03 3.135985988912246285e+03 4.833492786088883877e+07 8.197424042789422174e+02 4.185131143121749878e+10 1.086267042593967169e-01 9.973362447979611245e-01 8.555314307893866488e-01 -3.349833214376262802e+00 -3.057674685762795885e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.320222736005064235e+02 -5.738537977571911621e+10 -2.534570593431167603e+08 5.992293414867956161e+09 8.766552622369545134e+03 4.040686239454742463e+03 -3.387514281753001342e+02 7.236257257193525136e+07 8.790222736005064235e+02 6.362504653609854126e+10 1.339112340550160929e-01 9.994763228187110160e-01 3.484800128707402855e+00 -1.404416289571910337e+00 5.489656422908968381e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.100675617027559383e+01 1.665828442535400391e+05 5.420288995361328125e+04 -2.425365676488876343e+05 6.190592353003567041e+03 -9.440042802544210645e+03 5.815160648290393510e+02 6.420663787848749012e+07 8.280067561702755938e+02 8.939179701862213135e+09 3.186772081209855445e-01 9.998348642955842136e-01 -6.775396985488035817e-01 2.204586493540462211e+00 5.967113013971861335e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.809492456111235015e+02 -1.661553454669189453e+08 -5.300668714120483398e+07 1.030353734474048615e+08 8.355939343577438194e+02 1.481286700367501908e+03 4.017566641651677060e+02 7.588862449841241539e+07 9.279492456111235015e+02 6.605147320963681030e+10 8.540316945311438035e-02 9.971924580204184485e-01 -4.516968187278376234e+00 4.105130008814494857e+00 -1.047880018548254188e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.714244177355362808e+01 -7.095319478683471680e+06 5.384853424316406250e+06 9.834176702086448669e+06 3.332793035743445216e+03 3.323559408565533886e+03 4.948031286269450675e+02 3.934166373661413789e+07 7.941424417735536281e+02 5.260504909783734131e+10 1.024220266983452005e-01 9.999956685236452980e-01 1.277234737341151671e+00 1.540593958997434010e+00 4.228344644610166014e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.714990286780096085e+01 1.843163997802734375e+05 -2.222089700317382812e+04 -1.719342397651672363e+05 1.824603746806057643e+03 2.463608299075753166e+03 8.987265818456216948e+02 1.874756872330217436e+07 7.741499028678009608e+02 3.403057372794677734e+10 1.194741937288556211e-01 9.999997581601045571e-01 -5.934515700283571338e-01 -4.948542352000226963e+00 2.109689910905712118e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.544481720147359738e+01 -1.829291249084472656e+04 -7.842020303344726562e+04 -3.787059416832923889e+05 3.847130526349854335e+03 9.867258957390387877e+03 1.414826584768753719e+02 2.919175608973544836e+07 8.024448172014735974e+02 9.676396650547851562e+09 3.573129978742703994e-01 9.999999996143252856e-01 -5.936168854902186265e-01 -5.287777867117608110e+00 -3.082352419434973179e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.393362933266860182e+01 -2.424124648406982422e+06 -5.739050950508117676e+05 -6.673221845736503601e+05 1.203807097836587491e+04 -4.367920151048929256e+02 6.521026027728516965e+02 4.140672702951797843e+07 8.209336293326686018e+02 2.057160446228198242e+10 3.917087074234473221e-01 9.990547330877845855e-01 -7.501084975312328762e-01 -2.147669911639993323e+00 4.983553216511100281e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.773706719902122586e+01 4.719128903198242188e+04 -9.748867567443847656e+04 -5.589703799462318420e+04 2.561000179968459179e+03 2.302235077252957126e+03 4.078267944381631764e+02 3.213674737977720425e+07 7.947370671990212259e+02 5.557114370109115601e+10 1.259546737105067538e-01 9.997518359971786506e-01 5.465712380051759300e-01 1.596324714435585657e+00 2.858784881031866121e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.405554234526911159e+02 -7.952419171249359131e+09 -1.071189669301025391e+10 -7.261499232246179581e+08 -1.460644278943684185e+03 -5.421496595880926179e+03 -7.960051760098090199e+02 7.696724272147253156e+07 8.875554234526911159e+02 4.411099091828796387e+10 8.032412751240169957e-03 9.994041201432218857e-01 3.849742081896646795e+00 7.235139837874653423e-01 -2.201759109885534915e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.105883816077287065e+02 -2.288960280273437500e+06 -9.833781943702697754e+05 -5.921188903871536255e+06 4.470404564282326646e+03 1.991011974790173554e+03 1.058948031706869415e+02 5.379985015030767769e+07 8.575883816077287065e+02 5.731502786643518066e+10 1.836480284265870622e-02 9.998335753833914596e-01 -3.342616279084938968e-01 -1.865043633622048613e+00 -2.230646817049420250e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.605168376521976370e+01 4.200065775693661499e+10 -1.006791756494895172e+11 -3.214341129332684994e+09 5.011658319334113912e+03 1.817306190748589870e+04 -7.443351997070749348e+02 3.762757120745011419e+07 8.130516837652197637e+02 8.527566183364312744e+10 3.308331161988919966e-03 9.995268163179644727e-01 -1.795802776026333980e+00 -5.252920563480736327e-01 3.387880462888948063e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.863535445293496196e+01 1.539284690416494751e+10 4.090218374092666626e+09 -4.433364868647891045e+09 8.351421599535588030e+02 1.049462543025787454e+03 4.226045872933256078e+02 3.304054423191165179e+07 7.956353544529349620e+02 5.973200315279293823e+10 1.036047780737704288e-01 9.995169953400029339e-01 1.097488971776312994e+00 9.696520258617213894e-01 3.165542656608820948e+00 0.000000000000000000e+00
