Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 77.75352052893265 -210376326.8141632 -103688855.71055603 297382616.016489 6088.914323020177 -1577.4921221374134 -7868.680338729757 59591829.04519563 824.7535205289327 72685051323.16809 0.07926797510705302 0.9527409847986276 1.1732116729716564 2.416548912497835 -5.456440183956452
0.0 109.05890970255587 108357368.14888 -54483901.7301178 -3874552.8681833744 3346.749189865961 1879.7234514587817 -17.004046763832662 107811588.55943066 856.0589097025559 101072824540.70755 0.003049805693124852 0.9999982390074805 -1.6748762310025187 -1.0754217053224466 1.996046826783353
0.0 62.444190868984265 20866309.13128662 -148687849.96977234 169163615.94565678 -674.6937084739002 -861.7506605786184 223.06353257481973 62288704.17885791 809.4441908689843 28476377143.560303 0.06295010740432427 0.9999919343977615 -0.38024566203995913 0.7077177516269997 2.609112621272646
0.0 46.50140921388686 34228492.548828125 142769639.03108215 -32335764.81653297 -356.88432141811063 -1833.8137282353673 -1301.5079677041879 126963933.2545954 793.5014092138869 39923132774.9509 0.09774773770550713 0.9992167048846019 2.1576617474332647 5.224476369456409 -5.695439679297625
0.0 30.709234094634667 -264492062.7414856 -15395272.41734314 -272151614.65052485 -9151.728465318198 -710.7639200103986 219.01257880056573 60965437.02012003 777.7092340946347 30871078347.49695 0.046014284359238516 0.9995222345727219 -1.5560945131406532 -1.9468042079714492 -2.0973369820861727
0.0 124.5257176860921 -2243571286.488037 -2805642690.869812 81814515.28936195 2888.0667879393222 2295.3019931311537 -113.45416018566902 93054944.42886502 871.5257176860921 78676379326.1065 0.02088454590174932 0.9999678753341458 0.4612192397556584 -2.9052351398898097 -0.5778150225464667
0.0 37.82762335879329 14439408022.410553 692233150.8468742 -2977044257.2652254 -215.78580380600897 315.5197102669481 122.55432460659136 29729540.454005603 784.8276233587933 64628406597.5199 0.037004991742864216 0.9998236388119648 0.6914824278903193 0.7729734474313965 3.232608830595322
0.0 107.32406440463865 -34457476.405944824 168713269.23510742 -683443931.6555576 2544.491529014078 2169.070277928895 5123.846877657547 108869031.97305053 854.3240644046386 50294792269.9386 0.11788840989651846 0.9595584952256677 -0.6142607243453801 0.5265103278719758 2.695355468375401
0.0 27.48184385251318 -374259455.03201294 1183721852.4002075 262102979.22650063 10860.640397545603 7291.455023561222 804.6830025323384 21807365.53740316 774.4818438525132 900076205.4927979 0.4858856777030132 0.9994354249357715 4.0622829685156745 -4.385831210309089 -2.9837327963566787
0.0 45.0720711711341 15230196883.608536 1634761076.0306244 -3039828008.0778522 647.9060395560991 154.4159457648093 107.10639296643211 34372320.52414766 792.0720711711341 64974240193.00638 0.13391328127796495 0.9995275544861504 -1.7351688391108724 -2.0149392433565363 3.18528122676651
