Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.000000000000000000e+00 3.326861362346517126e+01 -5.272290602279663086e+06 -2.009908597605133057e+07 -3.914792167819309235e+07 1.049643883933323559e+04 2.146866218044888228e+03 -6.919263840306064139e+02 6.297320675699858367e+07 7.802686136234651713e+02 4.148341868160156250e+10 3.384709008165909250e-01 9.990648613263902744e-01 -1.664210565784571605e+00 -1.066921501861517463e-01 -5.404606308487338140e+00
0.000000000000000000e+00 9.548586022710230736e+01 -5.878104160278320312e+06 -3.534220829429626465e+07 -7.637198285358428955e+06 8.923626416326909748e+03 1.325913644391737762e+03 -2.019510880275361615e+03 1.248739752367406040e+08 8.424858602271023074e+02 4.128012923353027344e+10 2.862925458436017534e-01 9.924410487172518058e-01 -2.538383000829227409e-01 3.244992816470999575e+00 -3.107331938708616015e+00
0.000000000000000000e+00 3.732915933524805041e+01 2.149962594047546387e+07 1.017647580435180664e+07 3.129538262428760529e+06 -4.820447955243271281e+03 1.004876495440402505e+04 1.522588789974124666e+03 4.743637760980949551e+07 7.843291593352480504e+02 2.953480435539645386e+10 3.037891895397987208e-01 9.982956749285654130e-01 2.583212663438052559e+00 -9.001443262387081035e-01 -2.283278101798515092e+00
0.000000000000000000e+00 8.974988542732364749e+01 8.139563166542053223e+06 -4.669809481506347656e+06 -3.805830119581061602e+07 -1.021539854231101344e+03 1.944580170645532007e+03 3.836459521642424875e+01 1.024525412603819966e+08 8.367498854273236475e+02 6.906883642772589111e+10 2.397899660477536415e-02 9.999709843052617675e-01 5.907052792144804609e-01 3.808958490643224448e-02 1.712435347801940289e+00
0.000000000000000000e+00 5.567518742797074083e+01 1.032938099543914795e+08 8.180860086734008789e+07 -2.172634073749256134e+08 8.595258279648411190e+03 8.764465956518568419e+03 -8.994540837501757835e+01 1.164484730598679781e+08 8.026751874279707408e+02 5.880172552417254639e+10 3.296377234396035139e-01 9.992470483930919745e-01 -2.562738841998045469e+00 -2.067158711532488979e+00 3.485356945282613861e+00
0.000000000000000000e+00 6.506154847974721633e+01 7.841951221557617188e+06 1.351772642013549805e+06 1.295558191121482849e+07 3.255115931080114933e+03 -2.406903529848819744e+03 -4.377452843608505759e+02 1.209701327338029891e+08 8.120615484797472163e+02 8.370836560252902222e+10 5.284384761897249760e-02 9.993162822470632589e-01 6.120056216691172057e-01 -2.706667090012473409e+00 -1.037908285251834872e+00
0.000000000000000000e+00 9.537410712924236122e+01 -6.351069896407318115e+07 2.382983022555541992e+07 -3.092034896518106461e+08 -6.107310809192495071e+02 -2.820540723816046011e+03 1.526362589778583697e+03 1.069704010267734975e+08 8.423741071292423612e+02 8.253895438499816895e+10 6.555747077397143519e-02 9.981134194067339260e-01 -4.111333860510546501e-01 4.720374806254502786e+00 -1.305857136669101859e+00
0.000000000000000000e+00 5.499023175293939403e+01 -2.436116569688415527e+07 -2.006038402935791016e+07 6.628036231696605682e+06 1.352671572835082770e+03 -1.525583249953009727e+03 3.145069191360953198e+01 1.237369603158946335e+08 8.019902317529393940e+02 3.783876436305786133e+10 8.385996691654240554e-02 9.998375582650413929e-01 3.340831528341383638e+00 1.509986396489899407e+00 2.460129213691505612e+00
0.000000000000000000e+00 2.872593465789179845e+01 -2.657329681266784668e+07 2.045504535600280762e+07 -3.209052401979446411e+06 4.664563810197279963e+03 -1.155470954195909144e+03 -2.127577103958564749e+03 2.785487302578834072e+07 7.757259346578917985e+02 3.896859691895550537e+10 2.420634937803670117e-01 9.990176237486405597e-01 1.682883207025887007e+00 -1.189353353939682112e+00 4.442362944691293336e+00
0.000000000000000000e+00 4.952693160228000124e+01 3.215549743637084961e+06 5.163204297477722168e+06 -6.976295348041772842e+06 6.137183263149783670e+03 -1.233082855882657896e+03 -1.028791858162659082e+03 6.575390663329251111e+07 7.965269316022800012e+02 6.931470944072824097e+10 1.218784072906755195e-01 9.997204354551566530e-01 -1.555840801821502639e+00 1.784832697029465898e-01 -5.226038676517861248e+00
0.000000000000000000e+00 7.897175922851374708e+00 -2.870413651922607422e+07 -7.712017572052001953e+06 -1.280544273442625999e+07 -6.834091681832760514e+03 3.985301117834689649e+03 -1.134839466377208737e+03 4.519466224356171489e+07 7.548971759228513747e+02 5.054094723143402100e+09 1.854334398598965761e-01 9.994939312745432236e-01 -2.333215343480673276e+00 3.126713543065332779e+00 -2.191183609804934207e+00
0.000000000000000000e+00 7.765712981901856438e+01 2.243888833236694336e+07 -3.173716540897369385e+06 -3.305646372802639008e+07 1.844508908330724353e+03 2.592108886466790864e+03 -2.632005158378212855e+03 6.538104657893873751e+07 8.246571298190185644e+02 8.058811350416314697e+10 5.425376215852272671e-02 9.978168391126130965e-01 1.272601290058941403e+00 1.801038369155749663e+00 -5.296169696803778137e+00
0.000000000000000000e+00 8.835257082077009727e+01 2.835788180358886719e+07 -1.382760722616577148e+07 1.806132567600226402e+07 -7.250265133469438297e+03 4.812685179779138707e+03 1.950853299957055242e+03 1.174401351879788786e+08 8.353525708207700973e+02 4.805288455701959229e+10 1.726473637286919938e-01 9.999963584984954412e-01 1.623563765134011128e+00 4.341087254292298470e-01 5.740530519362327055e+00
0.000000000000000000e+00 4.412853708858983737e+01 -4.486732078308105469e+06 6.779819868878173828e+07 7.454639274827003479e+06 -3.936144185610653949e+03 4.309963776335534931e+02 -2.614004987396881461e+02 7.737863141010005772e+07 7.911285370885898374e+02 5.521865643966333008e+10 2.178659664863283885e-01 9.985176830596371733e-01 -1.290553229719883177e+00 1.595449954391752190e+00 -1.997773739264812498e+00
0.000000000000000000e+00 2.545162733698907687e+01 -1.633027395410156250e+07 -6.553438232727050781e+05 4.246047840426349640e+07 5.955193008341106179e+03 -9.425148531074028142e+03 -8.095393331057196065e+02 3.223129971160498261e+07 7.724516273369890769e+02 2.396845692281869507e+10 2.494143717234447166e-01 9.991415960931457896e-01 2.003161831303311491e+00 5.989638259179725921e+00 5.786881173601646111e+00
0.000000000000000000e+00 7.559025465823458489e+01 1.101680788654327393e+07 5.576369095031738281e+06 2.116896865880012512e+06 -3.116019134758338623e+03 2.984416627172621702e+03 4.717864253421987996e+03 7.672914342489010096e+07 8.225902546582345849e+02 3.057695578680969238e+10 1.035933927677099020e-01 9.720572434781068472e-01 -7.415564682827836540e-01 2.047746709643476049e+00 -2.114932816584353947e+00
0.000000000000000000e+00 5.875227691690838583e+01 -7.849111495605468750e+06 2.105251306127929688e+07 1.796769155302047729e+07 1.990815004568179575e+03 3.442603981044561806e+03 8.303267091521115617e+02 6.161365849765414745e+07 8.057522769169083858e+02 4.398675766249023438e+10 1.541371185975413949e-02 9.995021240563404241e-01 -1.368870088639303928e+00 -5.032086416642568283e-01 -2.462072170873617960e+00
