Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 2.646194659135687743e+01 -8.004550505929565430e+07 -2.964201349148559570e+07 2.681249994107198715e+07 -5.673516872683450856e+03 2.799263068094820483e+03 1.304455061922210461e+03 6.135509673065730929e+07 7.734619465913568774e+02 1.955159684440045166e+10 6.325720886916527674e-02 9.989321821297295623e-01 4.063033692094095706e-01 -3.565238834400806134e+00 -2.223044024854802014e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.680583121477059194e+01 -3.742576118474578857e+07 3.751495589277648926e+07 -1.168308084395277500e+07 2.730497034167317906e+03 3.188888906342084738e+03 1.388863675261846993e+03 3.568655844361635298e+07 7.738058312147705919e+02 4.599919580539909363e+10 2.090213237026295467e-01 9.994081451303119534e-01 -1.968282699711298545e+00 2.628081322415310339e+00 -3.381558459243816372e-02 0.000000000000000000e+00
0.000000000000000000e+00 5.985580456503271307e+01 3.213950834747314453e+06 1.261783058482360840e+07 -1.114150150365877151e+07 2.818544899093934873e+03 2.447698553259178880e+03 1.259546705174886711e+03 6.237100546187166125e+07 8.068558045650327131e+02 5.741354225012823486e+10 4.774617253394300431e-02 9.990213302898088843e-01 -4.795645920795275075e-01 -9.869725493820057372e-01 -2.261732269365554160e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.481292151774289323e+01 6.473846876519775391e+07 3.012667108596801758e+06 -4.267471633224678040e+07 2.753461483181579752e+03 1.105342567119401792e+03 -1.700971391782646265e+02 5.049232129590435326e+07 8.118129215177428932e+02 6.488939253519018555e+10 7.298229968944749957e-02 9.975885873276816307e-01 -1.316271954139641709e-01 -1.873489068948737568e+00 3.715554212798028999e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.433974693797586042e+01 -1.264406710635375977e+07 3.011611878509521484e+06 2.578108232906723022e+07 -1.154847228018155874e+03 4.351343341437241179e+02 1.468578197663950277e+03 9.532471811422929168e+07 8.213397469379758604e+02 5.895565259939071655e+10 1.504031082144958315e-02 9.986322050870077849e-01 2.586870717658364960e+00 -8.683172103665230956e-01 -1.119611939472327511e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.667262709268641174e+01 4.606267509779357910e+07 -1.171823139254760742e+07 -5.665079852845740318e+07 -4.664085432358842809e+01 -1.761857270572127163e+03 -6.737456634090287480e+03 1.105849915226728022e+08 8.236726270926864117e+02 7.963720606756152344e+10 3.033136085106173663e-02 9.821507858878023578e-01 -3.899688278194643587e+00 4.600502252293708239e+00 1.549646910057773663e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.033154477163259344e+01 1.099784293041992188e+07 4.539002913558959961e+06 3.015138359972000122e+07 2.855263170713187719e+03 2.802652799909144960e+03 -2.498436431834921677e+03 3.596734375635035336e+07 7.773315447716325934e+02 5.662668478454510498e+10 1.474833780452239340e-01 9.999977669876022324e-01 1.998431141224065621e+00 -4.408199390583206423e+00 1.773565169908362771e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.989586366255912253e+01 1.862218545001220703e+07 -6.451902861358642578e+06 -9.125852188533782959e+06 2.616618312735507061e+03 5.847939948492930853e+03 3.321690065341018908e+03 7.834526470442771912e+07 8.168958636625591225e+02 7.669523048402087402e+10 2.259539799586432474e-01 9.894304492073001667e-01 1.974598333346995194e+00 -3.739869468001082886e+00 6.553079275020279315e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.190277904541073895e+01 -5.814177088256835938e+06 -1.082222289489746094e+06 7.443651592275142670e+06 5.166163908258131414e+02 3.642660347744045794e+03 -1.680457125016356713e+03 6.666785652441791445e+07 7.989027790454107389e+02 6.542957212123599243e+10 1.241216378725562008e-01 9.997853340711855274e-01 1.878738020262965769e+00 -3.516641217647378248e+00 2.775990312546428029e-02 0.000000000000000000e+00
0.000000000000000000e+00 4.157638912875302140e+01 4.208504213340551758e+10 4.579775277935182953e+10 -2.517204304168251038e+09 -3.668655296302087208e+03 -4.631104472856313805e+03 6.978679483374236270e+02 3.265430925753758103e+07 7.885763891287530214e+02 8.080981989553384399e+10 7.158389626382220816e-02 9.994969312846112564e-01 -1.971029447396364542e+00 -3.483938810787088336e+00 4.781718563538488453e+00 0.000000000000000000e+00
