Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 25.682996243421144 45102585268.8324 24196099052.197365 -4652117108.70323 -2963.0746617522273 1200.1556863178012 -131.35581932293326 20270535.32853983 772.6829962434211 45520632934.244736 0.20877649456863767 0.9993071002497363 1.0739063403545632 -2.2143838397359152 5.432907406843216
0.0 98.36251961373227 -8109243.613876343 9250996.56161499 -96551462.35781771 1228.2527009332443 3082.49043099552 -945.9936617439009 81703381.48670357 845.3625196137323 96391117460.24007 0.12065210914910546 0.9998606783921988 3.117294715219421 -2.5921393288322108 0.8556373990398498
0.0 70.34125740008722 -20345141.629859924 -49120463.837524414 15236590.192469895 -381.1386206473544 -722.5617867730666 1048.9309559189387 90823003.62157209 817.3412574000872 69920133882.0246 0.029372148980936402 0.9997192149220011 3.6488820722827504 -3.135742080881011 -0.07586331682039382
0.0 49.00764016748167 16858208.51274109 -30899868.71520996 -46303116.63477397 5568.409945330193 6353.950700354213 -1222.4374614602955 76606771.95026717 796.0076401674817 66348827038.62683 0.3102771652580506 0.9995550695271075 2.4978099197384864 -1.775754560076305 0.295533685939529
0.0 132.54016167395457 61513353.1292572 -1056772.9105377197 19667002.792554826 7693.158612896419 4021.800806043864 -997.6217914809713 123337520.33675687 879.5401616739546 33989222509.310547 0.3056288167726166 0.9991824634471652 2.7218173210596794 -1.916078445855217 5.450408152518197
0.0 81.76149157615805 2503377.378349304 -16418105.482757568 -3148736.123360157 606.5287115335996 3597.0064610996087 567.1293904033593 63287510.98744158 828.761491576158 57563325216.34311 0.10789689946467744 0.9997176589290006 -1.5403281662597346 -0.20453042315036118 -2.408200514020707
0.0 53.40346440147232 -26166220.677843094 -43041731.32949829 -22104615.766950607 3443.4643521341095 411.07579171096086 -1130.9255304854591 105433543.81488079 800.4034644014723 97408483645.65393 0.02641982515552907 0.9999891278218755 1.0492607106155305 -4.868771532459945 -1.8101237687434222
0.0 37.36148909531494 21113595.85974121 20369314.466651917 23095708.267188072 6803.805115048426 2139.245953470585 1780.2169413532497 35548182.248585895 784.3614890953149 45660976621.49255 0.22433134556888853 0.9995536836482248 -3.184739924134988 0.5819350240415487 1.75105658462198
0.0 8.254860616326027 16632314.975723267 22497397.590156555 14099860.97562313 11017.680551512414 5676.90861410895 -1978.6349776128245 30461797.139222957 755.254860616326 29208216671.491608 0.3116391157412911 0.9993594096678338 0.6376438655248806 -3.7156367113074955 1.2830234155020626
0.0 95.60061338776597 4356253.797698975 21011331.62271118 -4508530.444766998 1638.9350370805987 1269.8081952957873 2434.304165678146 94886703.8432416 842.600613387766 58011691875.17139 0.06537554435827493 0.998568180747875 -1.9297605077377995 -4.665813936222607 1.0900449229687004
