Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 5.574131448022728819e+01 9.119759737591726685e+10 1.155202095924359589e+11 -2.608134937530870819e+10 -1.616748155576090176e+04 2.664594426765930621e+04 -2.565264284533826867e+03 4.358199258284807205e+07 8.027413144802272882e+02 4.944221159697558594e+10 2.451782344594266028e-01 9.998564920595460759e-01 -4.409667770576143120e+00 2.567226233372740918e+00 -5.626010140342108556e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.890955471574602598e+01 6.423804787392149353e+10 -1.371658858435614166e+11 5.208635699938278198e+09 2.284588018560897763e+04 8.608237150956396363e+03 9.027140896742439509e+02 7.601552492151121795e+07 8.259095547157460260e+02 5.387091393860781860e+10 8.399709644608552295e-02 9.997833234063734364e-01 -2.736444115491543094e+00 1.347081782646285975e+00 2.966437091392459813e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.291400721221464210e+02 -3.776108883697509766e+07 -9.749361997045898438e+07 -3.050736718877029419e+07 -2.057548558021771896e+03 -1.134542667672707466e+03 1.676111840485887114e+03 9.823391576846803725e+07 8.761400721221464210e+02 6.287719874393698120e+10 1.180249164145010660e-02 9.875189597678216691e-01 6.711314869322597687e-01 -4.806852081375417640e+00 1.619698693563820235e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 -2.232725746795351868e+11 -1.132007576777137756e+11 -1.684341168079931450e+10 1.439007495165810724e+04 -5.250035045264343353e+04 -2.512486117086076774e+03 2.461937812715125084e+07 7.470000000000000000e+02 1.815597780009121704e+10 2.354228020574447577e-01 9.965985175117985095e-01 4.589491280388926508e-01 -3.144841206808305145e+00 2.912561989570586540e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.033075213491997602e+01 5.773605521510249329e+10 9.569906062982192993e+09 6.213599135662351608e+09 -8.930502138305619155e+03 2.514261510265238030e+03 3.044355245563512653e+03 3.948649931271421164e+07 7.973307521349199760e+02 8.606849553268045044e+10 1.369764590362559653e-01 9.944608672807802030e-01 1.081812167432277594e+00 3.508898811139316010e+00 2.472381181470387546e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 -1.034966958174013977e+11 3.567604074530817871e+11 7.573652651050681114e+09 -2.807131816669099499e+04 7.802232053025145433e+02 -9.815412119439258731e+01 2.498595811023152992e+07 7.470000000000000000e+02 2.504917415314605713e+11 3.604520836045141952e-01 9.998752143496029143e-01 2.804571611723376101e+00 -1.250695130167276403e-01 -8.485904815249628586e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.770552828830182079e+01 6.682666181491354370e+10 -9.942701798569473267e+09 -5.423684271617809296e+09 -8.633611163211058738e+03 5.321331529149978451e+03 2.269135716335940458e+02 8.756846650446853042e+07 8.147055282883018208e+02 7.968443706753823853e+10 8.209809982271047690e-02 9.997876201139084262e-01 -1.059618474892458195e+00 5.988946478503587301e-02 -3.343253806094284020e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.953323344224554603e+01 2.344324059915385132e+11 1.241836012076980286e+11 -4.230504934393635559e+10 -2.991244991454076808e+04 -2.932720550265330530e+02 7.479736857391861804e+02 4.643584432466484606e+07 8.065332334422455460e+02 1.649007658338986206e+11 2.149993388010372208e-01 9.987403592499487504e-01 4.507814182533939729e+00 2.786986036163166425e+00 6.144115397817613289e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.034595524592828042e+01 1.849309627566156006e+11 -5.988841108942471313e+10 3.162363130641621017e+10 -1.119689637149153714e+04 3.171887939280310820e+04 -3.003107475404462548e+03 1.836469822596530989e+07 7.673459552459282804e+02 1.223400051116564484e+11 9.073696122583055357e-02 9.961557342840245965e-01 -1.999230215842950020e+00 2.852178313612484306e+00 3.556045900549743788e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.498884178001162581e+01 1.126102095045809937e+11 4.296513496245202637e+10 -4.493109647336233139e+09 -2.441212650344587018e+03 -8.755007481859105610e+03 6.561565475857966021e+02 4.301406826470290124e+07 8.019888417800116258e+02 2.016879580587671814e+11 3.035273405173413153e-01 9.995822588221158211e-01 -1.369204190908999141e+00 1.169281552915388156e+00 3.665006312779204301e-01 0.000000000000000000e+00
