Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 3.442085866669651750e+01 -5.761624575782537842e+10 6.913387784722940063e+10 8.538065614232156754e+09 -3.752952895257700220e+03 7.460151143145092647e+03 -7.874186822894992588e+01 6.323600219459208101e+07 7.814208586666965175e+02 6.378616577138555908e+10 4.111149442564122902e-02 9.994822709669199945e-01 3.994645997562307649e+00 -1.998518999158292786e+00 -6.240574598583860100e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.527071150229676277e+01 -7.827217770290527344e+08 1.567489260660552979e+08 -9.005169331101708412e+08 3.963059585330382106e+03 3.294653836837780545e+03 1.066172915390329399e+04 5.885743300521772355e+07 7.722707115022967628e+02 5.115008190163928223e+10 9.541579716408395140e-02 9.377342501487301307e-01 1.978015863295398580e+00 1.882828098876423439e+00 -1.914402515496253399e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.950994457854233133e+01 -2.635716404107666016e+08 1.921578481352233887e+08 1.843144952282848358e+08 -3.994812947405080195e+01 5.037607903834705212e+02 6.015678399767303972e+02 6.752811465056020021e+07 7.965099445785423313e+02 1.519479175833169556e+10 1.738695362961083235e-02 9.997947051243828431e-01 6.422886974429743434e-01 -8.524247976494732093e-01 -3.097064335875337804e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.814017093567213124e+01 -3.884525552789840698e+09 -2.432979113157730103e+09 -4.261667884017252922e+09 2.520882671676336031e+03 1.807041175250200467e+03 -1.841652285227846278e+03 4.692123357953983545e+07 7.951401709356721312e+02 4.609131649198138428e+10 1.392381655646420247e-01 9.996038182186061105e-01 -1.496810161757388125e+00 -3.914791013235461747e+00 1.233573419680518590e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.367331658774196512e+01 2.357771430825805664e+08 -2.397344018894653320e+08 2.458017264193367958e+07 -2.180057172446944605e+03 1.577118959111698132e+03 2.264821128193163986e+02 4.086337665926014632e+07 7.806733165877419651e+02 5.964432543449191284e+10 4.929381224782593274e-02 9.999842492698084451e-01 -3.090752026046901246e-01 -2.915990902446651933e+00 2.107831639063992402e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.033711654486504585e+02 5.852343320114135742e+06 -1.442548683526611328e+07 -6.219184544152760506e+07 2.176503676108732179e+02 9.150186171446785011e+02 4.902518229374911698e+02 9.662601016674454510e+07 8.503711654486504585e+02 6.939654136893368530e+10 4.225435358905796357e-02 9.997008575199222147e-01 -1.342750798912482280e+00 7.492609460886323625e-02 2.410188554704152164e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.987551056973734376e+01 -2.467619316568908691e+08 -3.897282008788909912e+08 2.097185168143329620e+08 6.083310976643388130e+02 -2.541128128520700557e+03 1.911498269979840643e+02 9.354562074572911859e+07 8.468755105697373438e+02 9.047768771703634644e+10 1.714434807763130508e-01 9.927285709495614618e-01 1.889943679167958024e-01 1.394285083937319758e+00 -1.263067867804857913e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.821617281123769772e+01 1.350487136383209229e+08 -1.045388979850036621e+09 -2.218536496028790474e+08 1.752085491640631517e+03 -4.352267275048088777e+02 -6.832950053801309878e+02 1.214855653862861991e+08 8.352161728112376977e+02 1.080410971851855164e+11 1.020000041647545069e-01 9.987573965708435031e-01 5.113572736657964191e-01 -2.660852070776071887e+00 -6.949406004521561098e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.353678859688193370e+01 3.825493224584655762e+08 -3.137555188827514648e+07 -2.521903683054542542e+08 4.092217130145409101e+02 4.837430879470994114e+02 -1.794262859632600339e+03 1.047047974445373267e+08 8.105367885968819337e+02 1.913176127985873413e+10 5.378287633392875300e-03 9.925859373393908225e-01 -1.663567497491627023e-01 4.784575428836785327e-01 2.630418584479757182e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.659128880773960191e+01 3.985516372274246216e+08 -6.199630527080383301e+08 -3.552138156755685806e+08 8.614560181636334164e+02 2.570227702406955359e+02 5.471184381671698702e+02 1.135827635729480684e+08 8.235912888077396019e+02 6.131936849466403198e+10 1.073877814860512911e-02 9.990926207374644097e-01 4.751990785993416289e-01 -3.177469296086357975e+00 1.955515055158696835e+00 0.000000000000000000e+00
