Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 -1914323.9655761719 10272186.490356445 -12031359.259037018 -8944.343286106108 890.343938681166 1736.1108951883714 66893497.680168875 841.5095860404443 233634579532.03937 140371876681.43884 -5293401391.949154 -35830.05339441369 30933.208280786002 -676.8877281121161
0.0 7164030.83505249 -2202535.2936401367 -4534039.035188079 -1956.0437265331202 8361.734138768328 -254.25067293127455 39046088.10407826 793.3357662128153 -297847166351.18665 66626878781.827866 4218497951.5125213 -17721.803519570636 -30637.060169890232 825.3954000571844
1.0 -8018020.806045532 -135421.2508544922 12927602.113063097 -1341.1673566797763 1341.6829570692917 218.6471824288966 73175413.36311108 863.2572365987265 279101936511.97833 -182236752503.6582 -6093401097.158288 28939.18046840124 41928.863955261884 -1116.5927805218012
0.0 -7221836.401824951 2306163.9294433594 13337189.176958561 -83.43272778619576 1787.9677084865925 979.5666743554888 76000832.66682841 876.0543164756112 45837908992.01844 -314823917701.1315 -6403239556.027804 47350.10376459728 3181.3564335155206 -1440.7401154781562
1.0 2637249.649887085 583034.2001342773 9529992.584644318 -815.3259825628411 1010.1836266605205 944.7804158930145 73116466.6608828 858.3968969780648 238583201641.51913 -225550690949.15277 -6418449189.260845 35969.90309172577 34735.077142099275 -2723.684618231889
0.0 14731467.766937256 2984032.521461487 -4088027.404731989 1809.060294457824 1421.2167317964995 -697.0852528327052 70546535.96095262 863.0294727536991 -188218840936.34744 -308555301604.1553 -2548009004.457861 43928.46647175663 -29014.983122449517 -1679.3626724855903
0.0 -2809855.9034118652 -6287763.2247161865 -4148584.323887825 -9637.082306157059 4125.001398013275 365.3078768255465 47097469.20585621 824.5625566055425 -161918680097.17114 -142735383060.32388 -3819867108.9231133 6298.790996748363 -21794.674783615206 -867.3745561478097
0.0 -126087.76940917969 1101995.922088623 5622506.1905398965 -1612.9491607979253 1896.6798876073017 486.59310040156515 74662786.64317137 863.5533089492925 242111455100.40585 -197274102798.4106 -6056874009.471042 32415.153613954382 34327.09727972335 -804.46792694994
0.0 295610.03186035156 -7659414.723419189 2461985.8181858063 2749.4142131432072 2601.8210356102572 -6417.632245002063 63788447.43195211 883.2190243790433 -93957836666.9914 -341402638430.00195 -1226237967.1345806 50531.00815460738 -3934.6138376404606 7569.551308560352
0.0 1642249.8021240234 -7951037.2250061035 -5408740.8025949 -1594.3001384662566 6090.183845652753 170.3888857983215 37540353.515400335 814.1637598222169 -333896557658.98267 43150069053.41835 4237857904.7192483 -13477.092355743902 -38856.01003652743 281.30697172358623
1.0 -1281463.140625 -1869632.010635376 -538253.3470821381 1203.6188000577113 236.4036429449152 -1078.1743771004221 66373534.6519464 837.5481892863922 -193755720386.13007 -322954467429.0873 -876242940.1242557 47489.60192213472 -26383.67477124712 3736.72876390898
1.0 -7134424.942352295 5521463.571537018 -17771022.31979227 1849.9861983712772 488.6322390457244 -251.43733039522647 72687106.2844645 867.0298016086218 -121190942521.5635 -322832841467.584 -4182211721.2403045 47162.01958967701 -21628.050417639988 -1362.8533044349801
0.0 -1719136.2574310303 1725263.5703125 7893284.518093109 -2103.160166181766 1752.1418935700076 776.0725211284391 77339430.18394081 889.291233748364 330403428124.8639 -82182821696.57603 -5085854464.719006 13313.195041955798 50429.97456901838 -3496.355480497606
1.0 4629654.270744324 775671.794128418 11594813.293959618 -1172.91311889622 387.8424652986946 264.1071677451199 75844082.85719174 870.6358428200646 291769199067.21844 -108605187303.85506 -4834968668.138226 20380.901838428952 42091.14930093336 -2464.7144039254217
0.0 5958316.602142334 -643448.2435302734 8466892.724333286 -6986.229128058763 8519.015272851922 -362.47695867535725 45164039.89865965 828.4619500836629 -213274976573.4279 -50291148631.85466 -413596466.51006573 -7095.0087821509915 -21284.562248833907 380.76959602720405
0.0 7237314.368713379 1729612.1957092285 -18180217.729375005 -1326.3538139779048 11033.157714082832 658.189614258176 40573353.977343515 792.637065198999 -243151570226.86703 93002038050.29727 4564937213.124965 -21546.47038356981 -18348.165995089385 -380.8524345694796
0.0 -12914222.343032837 5486431.609039307 27196017.527435303 14358.305257991913 3443.1051004956607 -1128.0469294326297 71513988.19429722 874.0423159914969 -38329091227.954575 297535868404.8137 2305113125.6911926 -32368.765910959635 -12937.787169642139 -2631.505049891647
0.0 24242133.10861206 693043.2272644043 -27566398.35819912 9285.68407210041 -6937.122984453952 -501.9468054201308 68890755.17461611 864.7357682298751 202797925859.74036 216311476336.0416 -3593561399.1380577 -33245.50507114875 21046.428300024912 28.456097365529956
0.0 -3990823.380584717 -2476923.716278076 -2871659.5131909847 1348.169644159816 1775.9257670218067 -1150.1661644561902 67954454.01885302 858.360846827653 -196332111149.71753 -289756182112.9749 -2767160758.1979094 40117.57741664828 -30480.192121199263 -1813.7768790913194
0.0 2867689.1529655457 1141812.161682129 -4259935.1245327 -1069.9096035982984 1608.73931555184 600.270857263532 72428080.50277175 840.5782332513626 290858969343.11053 -177417002605.80383 -6158847917.317936 27865.973958772 44727.84092430661 -2678.745291849471
1.0 -9537908.0284729 -5851541.103179932 2397683.3461284637 352.4711772970404 1178.93308943772 -63.15773142592218 68855843.74611929 859.8964110589235 30601357733.825092 -350487539500.7471 -5693988159.245116 53565.43184750589 3384.3527407014617 -3429.8561017546403
0.0 6421526.387054443 -729528.9259643555 -2403412.6579664946 -2658.87603704309 3269.4796080528668 195.82126252923769 77220717.33086482 854.6758083595618 215830514131.59293 -238725963750.46503 -6486433166.572399 37164.612970077585 31786.281781014586 -1373.5991072824327
0.0 2163960.2020568848 -2773919.8811035156 5254826.909097195 -5218.275784297177 9581.095450683319 235.3305306158913 43370940.036424264 805.644384630909 -241250019049.40997 -7874172002.549744 1381089249.5619986 -11272.162412811733 -22912.411424355494 -145.56130560174984
1.0 11186397.601913452 4250224.310562134 -14423582.39636898 -554.2699700978992 -146.17074452894667 77.47331162560545 73725538.89964794 867.0135016951231 70672084779.05614 -291257957858.21094 -6630254783.896721 44555.225045760715 5037.948460201525 -1924.1593825174432
0.0 -4377542.294372559 230278.75286865234 3021231.686117947 -4865.294252997546 -881.2704703855852 796.012189189957 32628818.817866046 806.6965388522884 -178576983385.27197 284480247231.6366 7951550058.523584 -46979.6925890691 -12053.828415981121 65.35386957487992
0.0 777204.2601623535 -2952773.9318008423 3962521.7401394844 -2177.9213940406444 34.51856237060201 -319.9432713816703 77030949.48479997 871.9251703521156 319355639242.5364 70139258766.19112 -1906290745.5145488 -6172.386538538087 47293.09644452104 -1666.8486588297726
1.0 8252020.575744629 4086745.0272903442 11672754.370336533 -424.8610224436925 698.2881081361702 357.27957046505867 68653115.51902199 862.7442179818588 19200696691.08715 -352429269002.7195 -5555971671.457829 53381.430914444616 2008.2412508780608 -3346.8632038767028
