Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 9.514259712357488752e+01 2.926588092847778320e+11 1.314936166301148682e+11 2.982637660501100922e+10 -2.895929820717376060e+04 4.898011616773285641e+04 4.548267055150305168e+03 7.593140681364944577e+07 8.421425971235748875e+02 5.238085764435496521e+10 1.566191569850655663e-02 9.738039429814908665e-01 1.366710361075365698e+00 2.948823727223866875e+00 -6.214233130136968875e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.291509764013551376e+01 -8.221284581234469604e+10 3.044856226432775269e+11 -1.946068295263366461e+09 -2.635564509678661125e+03 -2.999054629694213145e+04 1.621262494303057906e+02 4.771786225112713873e+07 8.199150976401355138e+02 1.515949196773610840e+11 2.349543433176659313e-01 9.998862488665396508e-01 2.171449138350687313e-01 4.583042370491008377e+00 -3.489766209445473333e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.589413251283814361e+02 -1.255596113447561951e+11 -1.053882816877737122e+11 2.309934099657677460e+10 1.828573858575826307e+04 -8.312205494099896896e+03 1.105732308260980290e+03 1.023262525156396180e+08 9.059413251283814361e+02 7.439170215076300049e+10 4.283328060990365671e-02 9.941297490420420990e-01 -1.704494730297749339e+00 3.501111963250242098e+00 -2.490008899054217406e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.134748072900315492e+02 -1.211719598937238159e+11 -1.454189410688530273e+11 -5.693742419002039909e+09 2.029428032436009016e+04 -1.927232794796475355e+04 1.415448011924531102e+03 6.658381212765671313e+07 8.604748072900315492e+02 5.309040030127996826e+10 1.740717866370696809e-01 9.999999951291005384e-01 -1.498697264693520825e+00 -1.412482095024315820e-01 -1.594778465466859529e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.694671663440198017e+02 -9.301018853778047180e+10 3.946496699223098755e+11 -4.074641852037239075e+08 -4.645322548557558184e+04 -3.505820604862962682e+03 2.598799014079736480e+03 9.193918920439231396e+07 9.164671663440198017e+02 4.011277957243457031e+10 2.207570143261154416e-01 9.954619835502640512e-01 -7.009884969958735113e-01 -1.774816008740546014e+00 2.087378942389703784e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.538431371841958253e+02 9.357674091502951050e+10 -1.493820656919122925e+11 -3.906473579859561920e+10 1.066660258725297717e+04 1.547874130848276400e+04 1.835607111405684009e+03 1.063222469774814993e+08 9.008431371841958253e+02 9.285438791125820923e+10 8.199929483377814410e-02 9.996655302725659942e-01 -1.462378035762506245e+00 2.766424338861861454e+00 -1.911904540640371464e-01 0.000000000000000000e+00
0.000000000000000000e+00 3.803734999446965048e+01 -2.397887435061845093e+11 2.789204758355651855e+11 -5.323226721504415131e+10 -2.719960454646696599e+04 -5.290390641969313947e+03 1.786430862791509981e+03 4.005589322684431076e+07 7.850373499944696505e+02 1.552118640807974548e+11 2.691719080585881496e-01 9.926810417739745374e-01 -2.322399640359495532e+00 3.986213500898112549e-01 -4.573017610375277320e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.959886457841486163e+02 2.881712573859600830e+11 1.122002372535758972e+11 4.730254157899561310e+10 -1.967157203687323636e+04 -8.240792806780700630e+02 -2.755397021032406428e+03 1.244062794165753722e+08 9.429886457841486163e+02 2.055014012923089294e+11 2.556775640716159037e-01 9.992619111391071174e-01 3.258376044693542806e+00 -7.497159376847162271e-01 1.121295259284766255e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.745187963237515305e+01 1.576238941196656189e+11 1.836445570295177307e+11 1.139939199480403709e+10 -3.275659924342781596e+04 1.834418945025977155e+04 -3.383684030358484961e+03 7.834314758833205700e+07 8.444518796323751531e+02 5.215012947399044800e+10 2.856767428531370445e-02 9.999626181442889949e-01 -8.883279782255761869e-01 1.776496192369522609e+00 -1.851597037092791886e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.044502549094454480e+01 1.665665699941692810e+11 1.624478132002977295e+11 -3.618944248413079071e+10 -2.588881262908116332e+04 1.693659719553160903e+04 1.001216573298071353e+03 2.861793184615072608e+07 7.774450254909445448e+02 7.973274476593627930e+10 1.452368370245166185e-02 9.910098237831791446e-01 -1.042743294207761684e+00 -3.653921409724363301e-01 4.981395146508948990e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.339084520903353450e+02 -2.168292766988381042e+11 -1.288003278908184814e+11 9.214017863893493652e+09 2.969526263164136253e+04 -1.466217939285509419e+04 -4.357202805037687540e+03 9.352308927020893991e+07 8.809084520903353450e+02 5.571531792143179321e+10 1.985777373437409010e-01 9.927872664535467573e-01 -1.676162671428351292e+00 -4.619526513237657284e-01 2.293372177152730451e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.398577150254394610e+02 1.333887547539562683e+11 4.527063152229196167e+10 6.426095446769244385e+10 8.713842563901005633e+03 1.717159816081265672e+04 2.343208798633262177e+03 9.136764544078515470e+07 8.868577150254394610e+02 7.789623112701184082e+10 9.356600192187183862e-02 9.619703541907101974e-01 -2.586072452457520487e+00 -4.003082318863538380e-01 3.486331743498218394e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.969870940770090328e+01 -4.264866650763551636e+11 3.238523932372421875e+11 -5.133918456550371170e+09 1.175257637357694330e+04 -3.830875068090594141e+04 -1.515485897083040072e+03 5.577836007501143217e+07 8.166987094077009033e+02 4.045083573548205566e+11 4.825467580284046321e-01 9.969575974780370275e-01 -1.120864624950609345e+00 -3.223470564453340348e+00 -3.170496004624335229e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.803122668062439971e+01 1.342001986669027710e+10 2.626802964963420410e+11 1.478580498902533054e+09 -5.282328499951323465e+04 7.138119235443866273e+03 -1.710001885645569928e+02 3.221535649913499504e+07 8.050312266806243997e+02 1.004564486169799805e+09 3.304244047994396860e-01 9.999985314341264253e-01 2.826929414467554746e+00 2.615154727375141430e+00 -2.737563319324910704e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.720087139486349770e+01 2.367089874643349609e+11 -1.488572954067377930e+11 3.379689864079531097e+10 -2.851755265979127216e+03 3.992831186501981574e+04 3.825364363245118057e+03 4.212971948056010902e+07 8.042008713948634977e+02 1.598855650550401306e+11 2.570149202377536857e-01 9.737085638024574052e-01 -4.142255684956560380e+00 2.785493681124397103e+00 3.437380113084482325e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.599181131521876296e+02 -2.280187884795087891e+11 9.600670269893354797e+10 1.277319886863096237e+10 -2.239002299132172266e+04 -1.077515971036079463e+04 6.444511795833676842e+03 1.215364443980534524e+08 9.069181131521876296e+02 7.537965982876388550e+10 7.140512406094061404e-02 9.845863592678161247e-01 -2.486936425440875897e+00 2.308510250082333126e+00 -2.224109417361526564e+00 0.000000000000000000e+00
