Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 1.246598194030149216e+02 -3.602212938801340332e+11 -1.673158778174439087e+11 4.288403223984736633e+10 2.718797882435117208e+04 -4.270746515252507379e+04 4.107955562514354710e+02 8.020736752782824636e+07 8.716598194030149216e+02 5.262735696540771484e+10 1.430416383662408975e-01 9.990616038374364738e-01 -9.625208882304849833e-01 5.470432887881320205e-01 2.876617995049700394e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.981726006158014570e+02 -1.058403961340281677e+11 -6.269207793578656006e+10 1.303015227676726723e+10 1.161330455356354832e+04 -8.642360371215985651e+03 2.216797965678484843e+02 1.136906432315511554e+08 9.451726006158014570e+02 2.207553652931649780e+10 5.998328897257043657e-04 9.994309427972434268e-01 4.940998543763754469e+00 -5.369673255372234166e+00 -3.091563374806592712e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.667772724686540187e+01 -2.997763773863792419e+10 2.174823123258405457e+11 1.286472867472014618e+10 1.085311775872332510e+04 -1.296312833190516176e+04 6.251288480835903556e+02 5.473627552696962655e+07 7.936777272468654019e+02 1.829719948807983704e+11 2.736747967695287165e-01 9.986713938102561583e-01 1.935441473334249096e+00 2.163333888960094153e+00 -2.317568141748058252e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.681704816362048405e+01 -1.342363114702084045e+11 -5.648791489432878418e+11 -1.367646304630600357e+10 4.016799753812290146e+04 -3.348240587330918061e+03 -2.296702927647212164e+03 3.849770688047449291e+07 8.038170481636204840e+02 4.268848943955175171e+11 5.887779057574099584e-01 9.978497390613934037e-01 5.299796251147471660e-01 -4.137657946425533417e+00 -3.468702435816448659e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.648202293129021427e+02 -3.678438424482393799e+11 1.049840722066590424e+11 4.543100095275204659e+09 -1.589479974421965562e+04 -4.570774748857918894e+04 -9.052756548916298698e+02 1.283880281359240562e+08 9.118202293129021427e+02 7.593179340030453491e+10 8.106844334258098139e-02 9.994079284470529512e-01 1.318440585519569774e+00 -2.983223185300518665e+00 -5.650928257913128139e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.101129650398902413e+02 4.070131082462162476e+11 7.632804704824067688e+10 -2.499325112830790329e+10 2.462061293871056478e+04 1.455617315376714214e+04 1.532920284512851595e+03 1.111830925850777328e+08 9.571129650398902413e+02 2.276307577860661926e+11 3.709164677150394440e-01 9.997199829993921316e-01 1.311890948368144016e+00 9.615163887121873643e-01 -1.172755152795592393e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.473143295687606269e+02 1.893918102866726379e+11 1.272740093300997925e+11 -1.112153736852224922e+10 -2.823712136188887962e+04 2.393114560167037416e+04 5.425150417650676218e+02 1.175353820966100097e+08 8.943143295687606269e+02 7.537213322119412231e+10 5.900919953823222791e-02 9.999992786374826137e-01 -1.737152766775596158e+00 -3.911158648504426516e+00 -5.972213553723596524e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.996142336658624572e+01 4.288103755805705566e+11 2.043403261816336060e+11 -1.514694502922859573e+10 -3.724343156372128578e+04 2.216552803454782406e+04 8.462671920325637984e+02 6.135142566419591755e+07 8.169614233665862457e+02 2.632814705831593933e+11 3.785383329236544081e-01 9.996355216719082781e-01 1.030495200580698878e-01 4.690565795127929483e-01 -2.516184984253295731e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.746618112160274450e+01 5.043652786769079590e+10 8.643746624364355469e+10 1.033204395597002220e+10 -1.159811191364497063e+02 -7.332736782222757029e+03 1.455626786062834981e+03 3.855168484191945940e+07 7.844661811216027445e+02 9.067206951239538574e+10 1.843925969541920090e-02 9.990272949851646267e-01 -3.247511487167980437e+00 1.546254539181353138e-01 -3.858527221659670658e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.542139562864872460e+01 3.460319735133941650e+09 2.948460822214219666e+10 -3.952405957170484161e+10 1.126867744534348094e+04 4.513951419626719144e+02 1.283059331052284506e+03 1.976698140391343459e+07 7.724213956286487246e+02 2.194596093293902588e+10 3.438334958647356054e-01 9.604287138782677813e-01 -1.553073013788961454e-01 -3.457823897718249828e+00 3.769091180122572382e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.613914496573695487e+02 -2.040084264997438049e+11 -2.639153863515145264e+11 -1.923527428427515030e+09 4.565606291524968401e+04 -3.530071064052845031e+04 -7.002032167156841069e+02 8.981741847877676785e+07 9.083914496573695487e+02 1.037896660609243164e+11 1.898449056026122947e-02 9.983873037721341381e-01 3.726095329446528215e+00 4.796025133151328390e+00 -4.253206297557950322e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.062430110594775670e+02 2.047841752683821106e+11 -2.274722026945501709e+11 -6.660729857332833862e+10 2.846185472877133725e+04 3.988805510074768245e+04 -1.555865450312898474e+03 1.062880128338604569e+08 8.532430110594775670e+02 9.268387712212164307e+10 2.658175934383152916e-03 9.790670053013782459e-01 -6.306036348121595303e-01 -2.378320884269747637e+00 -3.920114646171831030e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.496135183952951593e+02 -4.259784564756557617e+11 1.030486764488697662e+11 -1.504381137034034252e+09 3.598414999140662985e+03 -3.918446003953713807e+04 -6.665874895639306033e+02 1.227172638775574565e+08 8.966135183952951593e+02 1.686804696139340210e+11 2.095274544018268514e-01 9.989758319750716709e-01 3.631181727713537644e+00 -5.779203588831674843e+00 3.028245444560027089e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.200265942297644415e+02 1.369911194687399750e+11 -3.359322814532973633e+11 1.760918104748780441e+10 -1.095999048795225281e+04 2.046786711630317586e+04 2.199537967588574702e+03 8.701713646462845802e+07 8.670265942297644415e+02 2.103086518230279236e+11 3.342845891923177382e-01 9.842142372335367373e-01 -7.557095479567750296e-01 5.681326980784824343e+00 5.168512115677271757e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.070339914279329605e+02 -2.664314849962022400e+11 1.721688823499404907e+11 7.749160784179887772e+08 -2.498879249426754541e+04 -2.823470618206405197e+04 -9.559697953268407673e+02 1.134035611800670028e+08 9.540339914279329605e+02 8.653387056421359253e+10 7.434635257571955980e-02 9.964877582642074350e-01 -7.965745137478437154e-01 -1.098328043744182025e+00 4.013343782973760376e+00 0.000000000000000000e+00
0.000000000000000000e+00 5.837129815526634502e+01 -4.038089923906682129e+11 -5.510896233872412109e+10 4.149644078230729675e+10 7.316579800775232798e+03 -5.012941470459456468e+04 1.523721871374798184e+03 3.707562783942565322e+07 8.053712981552663450e+02 8.613989217869305420e+10 1.056100256703684792e-01 9.976820430185119326e-01 -7.662617656684733713e-01 -1.567360344272231476e+00 -1.344872802982853388e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.352286989166698277e+02 1.373644041566310577e+11 1.203151657070953217e+11 6.786510541499185562e+09 -3.113918732481753977e+03 2.719675976436744895e+04 6.652149177769726975e+02 9.904595309570750594e+07 8.822286989166698277e+02 7.852193068022744751e+10 7.482059794353063120e-02 9.997038904586655894e-01 -1.113088818224234000e+00 -1.194785638083961210e+00 3.871168211335390907e+00 0.000000000000000000e+00
