Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 6.277495286944872532e+01 -4.416616325538921356e+07 -9.220547636236572266e+07 -1.694495634716272354e+08 -1.139159912574381451e+03 -3.432717343248395991e+01 4.506175870585685175e+02 7.667604334548828006e+07 8.097749528694487253e+02 3.311323420081158447e+10 9.512182554088212394e-02 9.994380153072253137e-01 7.449406454463678440e-01 -7.791428402611169091e-01 -1.734370899399984456e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.665079528762544214e+01 -1.958602029508056641e+08 -1.160008856699676514e+08 1.354940103334833384e+08 -1.746630749157664468e+03 3.322759263589352486e+03 -1.793736640330528189e+03 4.837726317633045465e+07 8.236507952876254421e+02 5.754673840584872437e+10 1.298839770413285077e-01 9.986503628600019722e-01 1.061345595668879538e+00 -1.882668597554408407e+00 2.296007732169721205e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.277047260438063176e+02 3.787018232106323242e+08 -8.299945875061035156e+06 9.431412775648326874e+08 -4.535335459432099015e+02 -1.074981642372778879e+03 -1.437711138128040602e+02 1.021878280233864188e+08 9.747047260438063176e+02 8.245218850606213379e+10 6.121923296820214883e-02 9.994163292648015062e-01 -2.198284035418125448e+00 3.588000090712022416e+00 1.295024600771002010e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.244416765889430962e+02 3.469816290628356934e+08 -2.123572931076812744e+08 -4.737286240629577637e+07 1.397260313568458514e+03 2.677789432078156096e+03 3.317881060858865567e+03 6.643907237576071918e+07 8.714416765889430962e+02 6.336740969985885620e+10 1.422365473753845200e-01 9.982491423400241537e-01 -1.619086981803560477e+00 -3.565113784619352577e-01 2.034126863967471444e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.697295677687012585e+02 -4.820383133070678711e+08 2.062055162160797119e+08 -1.006932275118427277e+08 4.237008038322910579e+02 -5.063287455694517121e+02 -3.922877629975891409e+02 9.183170194275961816e+07 9.167295677687012585e+02 9.052303980382165527e+10 1.460182223222483699e-02 9.984349129472853690e-01 -8.615954865938364460e-01 1.625097260927439669e+00 -1.136834525814427455e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.927534897351333711e+02 -3.858788759171447754e+08 -1.635804992987518311e+08 3.150878251165723801e+07 1.221581366478580094e+03 -1.626983008691455325e+03 3.267621764793516377e+02 1.053816362824645340e+08 9.397534897351333711e+02 1.031626880495731201e+11 2.844518891511041425e-02 9.979420350932112216e-01 -7.994734053405280205e-01 2.086216538555185629e+00 -2.615864841476078229e-01 0.000000000000000000e+00
0.000000000000000000e+00 4.794823189921055473e+01 -3.480055339692687988e+07 -7.120783856341552734e+07 2.906079329784423113e+07 -2.282776401395407447e+03 9.565173378414787294e+03 5.241218292790913438e+02 4.141172619087159634e+07 7.949482318992105547e+02 2.579618069261126709e+10 3.274104107978476064e-01 9.999189780537568462e-01 3.023615248886238671e+00 -2.157461746043586093e+00 -2.219471601409468864e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.065921852032307697e+02 -5.759495026751708984e+07 1.270255692917785645e+08 -7.788998634214019775e+07 4.542703507416437787e+03 -1.249297364587881020e+03 1.169571095090900826e+03 1.234913345229155719e+08 9.535921852032307697e+02 1.192423109140043030e+11 8.556266834595879778e-02 9.988556265420538427e-01 2.340238332630719675e-01 3.460866864877424121e+00 -1.399419515117029666e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.305369610966589562e+02 -4.691417176177978516e+07 -1.356153277034378052e+08 -1.004460901341705322e+08 -4.235662160394658713e+02 2.161630747283725213e+03 -2.077157203399266109e+03 7.877765115509881079e+07 8.775369610966589562e+02 6.017364564458682251e+10 6.822729282383789562e-02 9.999109590434297479e-01 -8.372922403019702475e-01 1.996771922882160766e+00 -2.099898469033546711e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.889828355099700730e+01 3.662329643858032227e+08 -1.699814714123687744e+08 -2.179406062787637711e+08 2.829015146969919442e+03 1.291845472504595818e+03 1.312977839954482079e+03 2.926610601954824105e+07 7.958982835509970073e+02 5.802957445331561279e+10 1.957609317236679858e-01 9.999206065325917381e-01 -1.063466954718860658e+00 -4.957469188301843133e+00 5.332138611299560793e+00 0.000000000000000000e+00
