Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 -3148839.6880722046 3280943.1356506348 -6693915.076934814 -1069.6525984532564 1815.0746767912335 -159.6070182769863 71731832.88239725 842.7963680533923 36651945511.71997 0.10198874844842166 0.9999942517638244 0.0032298107722166236 -0.5220241424262436 -2.060209980845286
0.0 -4427982.782897949 8330770.569580078 -1570021.0541114807 -3167.107804728681 -2166.5093009555967 4429.501959865107 71958812.75000954 920.8809607569907 49859903258.89249 0.112696481296088 0.9702180839601406 -1.191890714846406 1.611349265492585 1.4915199333551135
0.0 5493609.077178955 4900761.618774414 4558794.873167038 -4427.683555712696 -190.08618306751305 490.82982330878224 34595467.777636096 816.0249281670177 83805636078.56903 0.0007242777745386508 0.9996832931673192 0.27144811834145144 2.781098821675295 1.5927205053566729
1.0 820196.9699707031 -4006206.2032165527 -7368353.461198568 -1191.578285301879 426.6502763590379 -400.88065141510697 74582646.20016752 862.7697949143712 32606883346.27649 0.08211644220066988 0.9999751577828909 -0.02033757814509296 -0.20937234135012428 -1.8267664671997357
0.0 -1553215.2655944824 5106498.971290588 2869605.324463129 1145.9182275980484 1634.8592618930597 623.4671078050962 69598092.2813874 849.1241718247356 49944894589.45267 0.052787993502623407 0.9996762969510442 0.009075618057506785 -0.8024785065965132 -2.016989701192702
0.0 9741878.050476074 14692418.593322754 -5644005.117394924 -1748.824214933793 7115.65075815294 -14.360424034804538 37411777.11183709 798.6052926795345 19141751495.92856 0.20578701826127485 0.9999912042347474 0.1522648921230365 -5.645253015095207 -2.778474157207447
0.0 3261054.376647949 -14610184.29711914 17218724.82046318 -1930.6032093531212 879.6620620654594 439.9140650162226 75432773.81771585 848.2487012230774 48266602663.55548 0.10044736158307252 0.9987998669805125 0.7188477987470594 -1.0477424295452715 -1.7964682394076747
0.0 -7861911.821594238 -504688.2296142578 -3302208.478096962 -2065.6057201133117 8354.555429048254 421.90595027968226 39790934.54624291 804.6611778937123 19385313666.91107 0.23578946641933718 0.999870867021538 4.143717696024252 3.167940682218722 -2.659557915239063
0.0 -10493002.882324219 1470241.6986999512 -6635869.764871597 -1573.5460982509849 1435.8257976967252 -62.106506968613076 65615479.79068311 827.0085699705326 8139201373.630341 0.07326301816440048 0.9999120666753903 -2.415045045834213 2.4726386746218605 -2.8097752132018967
1.0 -7695332.481628418 2261617.3189849854 9415298.816028595 632.238169450522 816.4649457655069 -633.4280744031139 75119616.10442749 842.0653735306136 27493441436.510498 0.026392912114806988 0.999833905913539 -0.9500518793287349 0.5966591231322248 -1.7051785603631455
