Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 2.089950161378887939e+11 -1.556156024183915710e+11 -3.574377253721806335e+10 1.474704927297117683e+04 3.938858094196440652e+04 1.253082674362015496e+03 1.951238813464567065e+07 7.732013439553003309e+02 1.058763072071441345e+11 1.843137105926682118e-01 9.927275848766772270e-01 -1.309797593250749292e+00 8.081435639476353128e-02 -2.438040784807470884e-01 0.000000000000000000e+00
0.000000000000000000e+00 7.997190932999566650e+10 1.700114434100307617e+11 6.056548153727017212e+10 -2.259858667692824383e+03 2.415786512132930511e+04 -4.020313252981360165e+03 1.819157110373680666e+07 7.741062788707405389e+02 5.334619726126565552e+10 2.770003922344244640e-01 9.780319538932433776e-01 1.810265160263963224e+00 1.106071086569323736e+00 -1.222018663344038192e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.592217304703594971e+10 -2.903429465643110352e+11 -1.149254376594020844e+10 4.845695663548984157e+04 1.880252987374136137e+04 5.017059747453884029e+02 7.042374270963086188e+07 8.244940416997702641e+02 6.896884561578652954e+10 2.888860324048092565e-02 9.998538235282264930e-01 1.118986512850756121e+00 1.666533310567123394e+00 3.864758861963870196e+00 0.000000000000000000e+00
0.000000000000000000e+00 -5.144668611594488525e+10 2.687420213714877319e+11 -4.382999464450894165e+10 1.540296910627614307e+04 -4.851613072366926644e+02 -1.390387896339960321e+02 5.518294766961947083e+07 8.142123427123960937e+02 2.339103948833201904e+11 3.663040132882466882e-01 9.950608684697649364e-01 -5.320261956858390207e+00 9.692798058134198813e-01 -9.256371222025585599e-01 0.000000000000000000e+00
0.000000000000000000e+00 5.813890186113635254e+10 7.528418324694299316e+10 -4.203643085818784237e+09 -3.192235129460231292e+03 -6.359024575362429459e+03 6.422353904631247588e+02 6.968018943392366171e+07 8.415283344705765103e+02 8.176340995755221558e+10 7.186987718608622844e-02 9.999907921257109589e-01 -1.414346259679560847e+00 -8.100088188495813135e-01 8.023877469150031416e-02 0.000000000000000000e+00
0.000000000000000000e+00 1.295716113001620483e+11 2.272521738856043091e+11 1.351181927822069931e+10 -3.177916594633063505e+04 1.929437827845934225e+04 1.812404659193333828e+03 4.129457331985840201e+07 8.005261205321228317e+02 3.818071021484857178e+10 9.236319731872028038e-03 9.991384331014930842e-01 1.144266532565810124e+00 -9.396193611905205856e-01 -2.152758509705449796e+00 0.000000000000000000e+00
0.000000000000000000e+00 -3.987102646737852478e+10 -2.349951059504481812e+11 6.047272527036890411e+10 3.402717363270390342e+04 2.157439463369081932e+04 -5.789222105668039148e+03 2.147894696160703152e+07 7.777429482846907831e+02 1.540783673853109131e+11 1.777509804481353928e-01 9.858510632192728496e-01 4.919849748727902039e+00 -2.610400180969422390e+00 2.739189553353367668e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.070953949516828613e+11 4.758319179901765442e+10 -1.919148316983426285e+10 -1.449266667148697161e+04 4.764225093935360928e+04 3.906097747445749519e+03 6.440364614171043783e+07 8.784316542995597956e+02 5.291919982015643311e+10 2.287157293835426208e-02 9.973399614173167338e-01 -1.542539819193932127e+00 -3.390189321424974978e+00 -3.127859908141982004e+00 0.000000000000000000e+00
0.000000000000000000e+00 -1.274998341485259247e+11 -2.830843647534937744e+11 3.478177279525308132e+09 4.445111582441498467e+04 -4.817465872465965731e+03 -5.614669253856218347e+02 2.244473601129115373e+07 7.804856549131815200e+02 7.890713422219204712e+10 8.226707499144891855e-02 9.995341388289811224e-01 1.607523572429990555e+00 -3.638895273189614699e+00 1.133303798320861588e+00 0.000000000000000000e+00
0.000000000000000000e+00 3.385967746004136963e+11 -7.408622944780670166e+09 -3.343322704854346085e+10 -5.417748103809371969e+03 4.322542889342865237e+04 -6.608912566299808304e+02 3.892194132486495376e+07 8.161092373101973863e+02 7.111783185201617432e+10 9.525828105879879937e-02 9.926881496978230413e-01 -1.812018921834027685e+00 3.362900164765274091e+00 -1.026358693682831724e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.013335736362820435e+10 -4.188235365996822357e+09 4.264094082118255615e+10 5.393294037554285751e+03 -7.034836525567407080e+02 3.049802345266304656e+03 3.089987581110969186e+07 7.866180436203062527e+02 5.102252650895932007e+10 1.995397451657742183e-01 9.734782607937173537e-01 -1.342159371079296726e+00 -1.197041801682920958e+00 1.087639981273281320e+00 0.000000000000000000e+00
