Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta Datatype
0.000000000000000000e+00 3.540834397987839566e+01 1.191181787906929016e+11 1.268739491468086700e+11 -4.062828423415106964e+10 -9.208202776204967449e+03 2.964450661692710128e+04 -2.024259014889133823e+03 4.536297528682844341e+07 7.824083439798783957e+02 5.649051592565203857e+10 2.273323467506768725e-01 9.862100222286500628e-01 -3.852856892842218883e+00 3.498761718004450127e+00 -2.751503888683846100e-01 0.000000000000000000e+00
0.000000000000000000e+00 6.191765856606434681e+01 -1.968769341109799805e+11 2.266395995504376221e+11 5.590033288984757423e+09 -3.686003183708777215e+04 -3.425228301786964585e+04 -1.155452371586572013e+02 5.410779763059350103e+07 8.089176585660643468e+02 5.670716568061775208e+10 3.216251628552635466e-02 9.995798052036206638e-01 7.737022668431241534e-01 4.922543106015914383e+00 -6.160572021022410638e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.918064813413297998e+01 -1.170280820456957092e+11 1.560688934914076233e+11 1.547954934185592461e+10 -2.113024091510687867e+03 1.611844577199979722e+04 1.092793407716188540e+03 6.568995302869033068e+07 8.261806481341329800e+02 1.233857871874252319e+11 2.233209515946309176e-01 9.981598947587636550e-01 -7.978496170558038170e-01 -2.484121778498690425e+00 -1.852421521681723859e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.707193177341287083e+01 -3.720654626973049927e+11 -1.234185812584572906e+11 5.069376043286004066e+09 2.184775627278419779e+04 -4.485936886877105280e+04 -5.898470482378238557e+02 2.199340238742066547e+07 7.740719317734128708e+02 7.859023112876980591e+10 5.762040390130316464e-02 9.996663761583001184e-01 -8.552556667432138493e-01 -2.201554419082025760e+00 -3.725161680533853215e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.937401954631013723e+01 4.207487335300216675e+10 2.825852762766072998e+11 2.719898214264205933e+09 1.633451251485344983e+03 1.577083760141401399e+04 -9.319965840800343813e+02 5.388795845193271339e+07 8.163740195463101372e+02 1.791649820536752014e+11 2.223607641678207181e-01 9.998812080071375341e-01 -6.009389175534488814e+00 3.907711204203087263e+00 -3.388658955267213724e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.189701026511972941e+02 -1.276697650822134552e+11 -2.412455204507915039e+11 -2.825835936847250366e+10 2.873405783207745844e+04 -2.047555017975638839e+04 -2.754783937007918212e+03 7.728782699463751912e+07 8.659701026511972941e+02 3.549299466698660278e+10 1.928948251104204981e-01 9.876042647354527082e-01 -6.198578980099502811e-01 -8.949223968074310198e-01 -5.327196446177159928e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.782239074059759787e+01 1.890526386158759155e+11 -2.168016713536267090e+10 -1.327725974308428192e+10 -1.117012833613372277e+04 2.861562123076003627e+04 -3.852564895223185886e+02 3.994202093113514781e+07 7.948223907405975979e+02 9.386575459068975830e+10 2.939899647164357505e-02 9.997204870954555789e-01 -2.288597379267063747e+00 -4.285733608862404842e-01 4.255668940038951575e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.384122245062644652e+01 8.924570674778930664e+09 1.323079806452728729e+11 -3.649413333683831215e+09 -8.210332514766472741e+03 -1.134970116453138689e+04 1.752886946246872867e+03 4.556606226111212373e+07 8.108412224506264465e+02 8.449517457504977417e+10 5.351271563461464098e-02 9.989824585804382151e-01 1.484348364554710642e+00 -3.640333854757214382e+00 -3.249469641991206803e+00 0.000000000000000000e+00
0.000000000000000000e+00 2.173469979099991178e+01 -4.558299683362070312e+11 6.876946235770404053e+10 1.971247027303221512e+10 -7.079827160220427686e+03 -3.781592997064461088e+04 -1.450822898301007854e+03 1.789977660054340959e+07 7.687346997909999118e+02 1.273403726066194763e+11 3.358787786275048703e-01 9.981972304551980368e-01 -1.490551182061089497e-01 -3.826724364631443720e+00 -2.493359050958551038e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.721479641323511487e+02 -1.595980471817656250e+11 2.327086972869403381e+11 1.611621086644653320e+10 -1.484651144614046279e+04 1.562555838376028078e+04 1.431522262179111976e+03 7.582607105767378211e+07 9.191479641323511487e+02 1.327365710760633850e+11 2.559337522095220807e-01 9.981994450136931762e-01 2.177723735568573016e-01 -5.539204192917251746e+00 2.878713518866760523e+00 0.000000000000000000e+00
