Label M_f Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 112.40151873046341 -5475019300.707123 -22096732798.338547 -14179168787.826439 49.697851199729485 148.6867895391115 -76.55105714274049 72546274.84275073 859.4015187304634 59036288620.3457 0.11518219249917146 0.9922485944926688 -1.4960426682791959 -2.263110224958118 -4.077226414066587
0.0 84.08527877581446 -12903052544.413467 -24559194267.329132 -1594932254.9948196 9515.483777019806 6760.082352884041 -954.9210187873316 52922275.27163371 831.0852787758145 41859035799.95706 0.23646986716251225 0.9994368830016798 3.107282156933593 0.6540836171762905 0.0760614351500224
0.0 47.53937378553985 -148761035647.68896 -127027107320.37898 5534159518.481149 31788.943912997303 -22308.790612946344 -539.1026322855633 37522917.022292584 794.5393737855399 72533852762.0125 0.12067092299992088 0.9994918940934371 0.9271732891636421 2.0603259985784694 -0.5211594512032551
0.0 97.02980113048943 8120944764.75972 -26831522347.465973 -1556991254.5392437 16.765503827813518 15.039799835625672 -8.161191207154403 72895360.2279596 844.0298011304894 75371651297.77243 0.10087525149599698 0.9997636139576501 0.09444682240227509 -1.453639186618731 -5.307395797258786
0.0 32.931489712506504 -249694264546.48596 -284898921122.0536 1691310446.6542027 43255.09452730117 -29468.51062146708 -1018.3376586863584 33378958.47816059 779.9314897125065 78451078477.07611 0.07714205843789107 0.9996129348021845 -0.26506446934437955 -1.8732087231295 -2.5664719480497453
0.0 108.43267735326901 -25600773761.957764 54206748082.815994 7527718352.660266 9160.44483996513 -337.68520855526367 -629.7211512446852 67467948.00416605 855.432677353269 34817555971.23941 0.31421840390975975 0.9997259442091025 2.8673604567548896 -2.5472723878629004 -6.021320284871342
0.0 58.44941402568884 -130859504848.85904 400160289135.7969 25401988758.526993 -43501.82403340461 -3036.7081837223977 -1218.1359546544163 36730629.91220515 805.4494140256888 174104889004.05334 0.11089948615280242 0.9990546170112252 -2.310530672483311 -2.7445695544447215 2.601691342152328
0.0 60.333634815932555 -39523440745.391266 4113857334.6078186 -7228702084.7056055 0.049350497665727744 -0.0679240790050244 0.3472275728137788 61181768.49829399 807.3336348159326 58789628033.346405 0.15112825332093208 0.9993760433667459 2.91773661420577 2.0599444567036698 -6.1225567624154005
0.0 33.21207239973228 -388671587457.70166 70550128510.20764 18166979067.387905 -11562.579221940321 -49090.48972252823 -1717.7060805646956 21781593.76612057 780.2120723997323 78774329668.82712 0.0775181859967875 0.9994454164471313 0.25861761361179325 -2.5977346649829824 -3.575450666978114
0.0 99.56404178797618 -207465117509.81787 -384551301703.43787 8023096443.296159 44855.08505069173 -20906.082191181562 -4079.4246676084344 64902934.035141625 846.5640417879762 110118829521.16064 0.14417600081251675 0.9871546865733051 3.511844750739537 1.489622588046858 1.7147879514153366
0.0 151.00777910242562 3503873.2458496094 10843222.0599823 3314767.2399617434 -3212.280283766024 -3183.8111434828133 -443.809193757197 76211983.2591677 898.0077791024256 59310774789.07306 0.08997323802071051 0.9998967045740491 -0.5890710691859378 -0.970217348615408 -1.881235972847462
0.0 33.816159584562456 -27444623616.346252 328249977630.60223 -5241228244.02274 -24216.162392808365 11724.086459548758 878.3298179913488 21246326.55362164 780.8161595845625 195192283759.04874 0.3400136090079801 0.9993768773495258 4.264724047077876 1.1666810015386562 -3.833717811146964
0.0 47.08343972066075 87157495580.87138 143600538632.49384 2483446328.679206 -13041.42322984978 17541.853143328575 143.24185878926272 38115713.32177523 794.0834397206607 53994496553.87869 0.02158589561409968 0.9999320794689185 -1.5356522279505953 -4.423214047597243 -2.4916433475651214
0.0 130.11168573837517 -18579167076.112568 19087015639.08145 4254983178.354632 1278.984214826687 882.7502687361888 549.8660108255837 61625740.103436925 877.1116857383752 61992217450.94159 0.01820418822542791 0.9995177498164299 -1.9951096245754139 -0.7697064591180958 -1.3886716532268408
0.0 69.12005216560215 43609.823822021484 -36418.926330566406 -97576.33647632599 2357.678634827842 3450.6044671997843 -5732.811473324969 55499048.51002664 816.1200521656021 52345943342.13165 0.16488737007640852 0.9790190847627476 -4.967994480568329 3.0560070727249933 -2.955293988352325
0.0 38.996734006801944 28158349261.30545 13746743130.49083 47535466178.661995 0.07011456603595434 -0.04962595049437368 -0.07743249686791387 24013995.531571154 785.996734006802 75120625168.01816 0.13268893896712078 0.9777912356045527 -2.357887128381698 -0.21803530881983213 0.14676512612287018
0.0 113.23676605600747 140788296.43222046 7635012.640399933 -146267104.77318084 600.3536909364357 1446.8809888939104 -445.22989913941785 66948914.64783842 860.2367660560075 49880635565.35303 0.11760753011552871 0.9998461770858833 -4.231258711422175 3.524035240351086 -2.2619422996735823
0.0 125.82664334088884 756543.806716919 5167366.00970459 -882994.8467540741 -1044.9301128299303 3819.015181206845 -383.3904549209235 65092371.30365568 872.8266433408888 25863450206.00226 0.13601089350592435 0.9989455295776238 -3.0547439873752147 2.428206218166965 -2.9456558792053533
0.0 61.97665295592401 11310831796.45401 42142469772.62744 -12884248513.124802 -1.6470534637401215 -5.484191698338691 5.366619262892982 49910256.67623596 808.976652955924 54465450135.86496 0.24887828899768177 0.9999642915568389 3.669434955257744 -0.039052033704319644 -2.3099171151492524
0.0 37.398754653209494 64429757731.437454 266255558876.43152 -28699508129.088596 -26513.089784423348 21752.92979057981 2371.950313210751 21958661.589850515 784.3987546532095 101168485219.23169 0.0074086042739031945 0.990188384805245 4.777439215850908 3.461311030821699 -0.13382525636335363
0.0 93.0305916505979 -23837922746.609657 -22078730042.88507 -12480738527.810476 0.08633916815597331 0.049192824475539965 0.10350714458536459 71009141.21803656 840.0305916505979 58716090659.4621 0.16906817410988684 0.9963072917055955 -0.8130747606024623 -0.02873172603258367 -0.07990614515304673
0.0 65.3065811143689 7629808420.128639 25547977993.487305 79318809867.87585 597.6621126822974 -73.80573582046767 1155.7369373684073 40223276.65634011 812.3065811143689 68372733446.5325 0.0995771163036198 0.9632874431211049 -1.39590260036909 1.47336579416088 -1.532095122408599
0.0 86.08529814541237 -1897455.8569259644 1771720.2444152832 -37025.0095205307 10.57257433227278 10413.69775140632 -2298.286189982073 60992202.072760046 833.0852981454124 35359723959.81854 0.30004068060915084 0.9993068049004916 -1.2949152277504337 -0.25333082116378414 -2.981315649641499
