Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 174398572773.58466 -18257160044.66992 1129448867.15654 17558.860178114086 9638.59707801082 379.9753905655755 59727925.565705165 843.2135067481559 65444745003.90782 -314065729523.6469 -3421907846.5405674 44688.01844649247 12542.832391102655 690.8041914370674
0.0 -1095202.0607681274 2348766.0082092285 3112239.3687906265 916.3493654865633 8192.417412262144 -5143.120641982568 59685287.11735366 833.3576605940441 -23770529208.79068 -337848492060.69525 -2100388598.7753518 48894.230936817294 11576.19026172124 6142.770437803
0.0 62097703284.9762 22089266492.893723 7176501014.027164 7333.3922431267965 3803.0889304108496 -1148.599015882157 70860259.32223138 893.0405161002508 -151025462653.25775 -326980684963.5333 -3217055843.2419667 47241.22098211714 -23268.817395983828 -1594.0985239783918
0.0 2330311.923187256 8421993.219665527 -14682301.893054724 1412.0312094733108 1633.2280054489347 24.960289957840132 70530203.96660858 902.5100604695984 -132451646494.53336 -337816261895.4673 -3365227893.935175 49499.59811399586 -20449.58629446444 -1339.4062368103187
0.0 -136709561706.35553 139772211113.8928 6807107563.942489 -7633.329819196839 8020.579992827636 -295.1497562302329 40379787.860344455 794.8865407937036 -265202950842.31287 -210247242077.59924 -1280667754.0545354 27053.521850921912 -37418.25087483946 -274.12763891492
0.0 -20531166.72201538 2879605.6788635254 15319105.809705615 -2979.6744940825993 8402.025724316103 802.4438017871119 40521930.3433195 795.3410976391721 -283333357337.9566 37268931295.74725 3258798336.123294 -15014.65184842399 -28748.984746295057 -774.4071954108141
0.0 -92245549320.88913 -45876743471.95653 5135570291.212133 1786.9093215798607 7078.422449536323 -1455.8025677442024 77389867.7725935 868.2525460986324 278414547454.6625 -86007980940.0689 -4158606162.3117967 15206.767199727094 41008.1755603048 -700.5605085467278
1.0 1974891.7391662598 2931617.6256103516 2565034.8150262833 -932.9744196910287 -288.16436386533223 -375.7702540183874 77234639.2091749 864.3919064333895 271134440225.89282 -103144850452.46558 -4459426790.128872 20313.203306855867 38512.02979431009 -2549.6971212267727
0.0 77983495680.68527 9786505534.114746 2622028015.4938383 11023.290883126352 5610.3014037534485 -315.37775199342616 69055143.48722167 842.9849319029267 -162830243619.5368 -298599573052.7484 -3622981531.9518576 42828.785849363514 -26320.89750866532 -1018.9759913435003
0.0 10758337.6930542 -8051152.0514678955 5069631.543088913 1137.3270691533644 1033.6088173670869 -1499.3510318431163 68621185.72016966 854.3694470055037 -197273250095.1916 -279522253419.0123 -2927243175.941815 38242.61197726231 -31632.838015694062 -2520.9987970240386
0.0 57516892373.71411 56458380719.550995 2223725902.5483236 6393.557325498208 8637.843511254012 -378.0284924375883 68734010.41763398 852.5260844942025 21701685584.813927 -351783431897.6377 -5595578286.293835 53225.311615787956 2322.86265123624 -3164.489688442875
1.0 8165415.177185059 -2250889.89919281 -2399002.6022777557 1028.6357282882836 540.6458197516295 226.3500560530847 67855132.43399893 860.638637337041 -67529684945.84262 -350190787603.9446 -4507804072.432042 52297.20739019298 -11902.817375117214 -1896.9281377357784
0.0 117163902800.88574 -27832047723.990982 -9847497937.805115 15023.003724113603 9659.234947433275 -359.3600443706471 66002029.50303878 826.2849977597493 -112439521549.4375 -349311138544.1441 -3364147041.3090515 51300.581514236044 -17386.86950503673 -3478.939112599739
