Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 -145251577155.51917 312658799130.9603 12226127854.162718 -43083.06592776823 -6444.851313745461 461.46133105895285 61203907.91202053 859.6641382624487 175305932180.7434 3835957116.4160767 -6691091617.900689 -10918.747850584143 24800.68438824832 -33.863315528103705
0.0 -1026238.0500183105 -4789887.598190308 16349408.84810853 2486.335353177772 2599.3228810101646 454.2962202688746 60976916.8478467 876.1717075218959 -267651121761.5522 -248777896851.5415 2856635028.311133 40220.094734735074 -29807.502121088604 -548.8839773194497
0.0 118533716136.1681 28895097670.115692 -5671076683.765805 13568.65145750156 10872.46963333869 1168.2239329478882 36767669.55434549 787.0390441958031 -104533754506.42851 220345539220.46667 7868553639.339233 -30031.260717980433 3363.391985177397 -135.61646490654567
0.0 18981548526.37799 10744064934.900146 -3738465800.51594 1757.340182905882 -356.2878864371487 642.158517588071 37398965.41490575 808.8644906315549 -10789378711.799866 151377187219.5484 7799905132.152534 -9244.383491810795 15885.988382428262 166.03571704546707
0.0 98356681254.44304 46934012988.96947 -6066047437.815842 -12480.838631222263 2146.921208293439 -42.33845159825121 61566415.90545656 854.0516930501161 -362013031996.0736 157903433459.3094 7316712365.432758 -22755.567143901637 -45279.96745324248 -299.1267905865155
0.0 5566524064.0360565 -5107047049.374405 -2399317023.893571 1002.8030851345502 833.1433716788015 -175.73953555158468 61432583.831444785 887.0791886921694 -359414581458.9696 164206019020.91202 7378544969.071012 -23463.934824959048 -44786.247632556944 -278.85415537634043
0.0 -334561005144.4486 177894855828.5589 12157303900.32189 -27955.558066664373 -40559.7020488414 -830.3707561997247 40107214.23166937 820.7450144630251 12719760526.470104 -357222106682.87585 -5312717669.985235 54702.86996581586 1552.065128724802 -479.6059452462049
0.0 8079457.206298828 4277630.993789673 -7369139.285229087 3433.8138965718617 3173.9682585340597 1498.1351946618709 40218887.26688444 833.2516137408156 -57350006223.59738 111689926409.91083 7992071626.793449 -5511.896055382538 12908.33720578074 -799.8244945587484
0.0 235766787141.10962 -104225583171.6878 -4190673010.1757936 7032.216996502779 39506.505239070786 -436.6642742626634 32864176.56165424 793.7223672200107 -12098242517.477142 126791636285.7464 737434869.9835805 -7359.528615966716 -11670.668458371516 799.6372739975275
0.0 7063746.24621582 -125525.07054138184 -2255691.4658255577 2882.617987894983 2544.1166859508485 1256.8216778903836 32732793.556402884 812.2839653150382 4408577404.17981 165112009928.99835 7652508938.71547 -12322.401577009197 18825.127137415104 -466.1977688056012
