Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 -47336900542.53116 68159056837.040405 -3585935090.0133452 -376.49972532954416 9959.187976130188 1491.0841798707222 76383552.90167332 859.7030801906442 78346011921.66122 0.07670928135580811 0.9994814296655142 -2.277758545909209 0.06387172433137067 -0.06022160128024989
0.0 1178110.1937026978 10596632.228729248 -1368726.491364479 -544.8675046712669 2678.8416687813997 1188.2835332048821 75130631.2636599 867.3854162523437 78346010757.70432 0.07670924578788392 0.9994814274386402 -2.27775634072023 0.06386636600388407 -0.20964553907740685
0.0 -62099695983.05177 32244629819.890015 -191390197.49550915 -1731.0769275628663 7285.987045206886 151.47994753827084 74172948.96851557 839.9211438730526 78346049748.85284 0.07671176497273355 0.9994816714646365 -2.277860592219853 0.06401206960121808 -0.03020833206045745
1.0 11250335.882175446 -11540463.43762207 2383323.95451051 -1198.3816900054408 1329.4711433542416 675.4925122313275 74135401.59587826 859.2664471979368 78346049321.76184 0.07671173886443174 0.9994816689816417 -2.277859484292215 0.06401043581568899 0.015273237657696108
0.0 -53631812153.75549 159921148079.96198 -5484792150.2359085 -3162.4487693541632 9763.659511134261 151.73384250244476 38554892.589500174 789.8558341148273 78345992177.86127 0.07670919068257993 0.9994814573223553 -2.2777328705244755 0.06376778436341901 0.08321850194092795
0.0 3738075.2813796997 -2176943.2718811035 6490722.592357397 -1249.440094876114 8252.71207890335 -177.37811899673238 39199810.01124206 792.453508806771 78345989959.79132 0.07670902911399691 0.9994814411085445 -2.2777265221760525 0.06375996059095446 0.5977715739565053
0.0 -266049505646.1441 -45491950135.86987 -7271753801.426406 -13062.775963872165 -4659.0439101997945 796.6481292223868 46316130.17733377 809.2532999736281 78346002610.99283 0.07670961679461422 0.9994814909760684 -2.2777550919419167 0.06381308267864938 0.4123717719648854
0.0 3963452.205505371 -944338.7957458496 575966.7941282988 -12524.001530072308 10535.808995695043 175.18299318623406 46928020.41836351 811.348818639784 78345999619.29068 0.07670940685144198 0.9994814701261369 -2.277746711935582 0.06380232701030586 0.9459340355106978
0.0 -207712306962.19025 200157640477.6054 -5810551488.569701 -19196.77099071377 7650.293450784815 781.9876985343426 67621564.39350596 863.5890450684759 78346014712.63983 0.0767097305478114 0.999481481449804 -2.277772160447274 0.06387531026296323 3.861253937963737
0.0 1619368.947113037 -3224416.5437660217 2923588.8220643997 -8865.975348364367 33.19389025760029 -3074.789371512216 66693894.99630853 868.3783883810268 78346013101.07318 0.0767096563408855 0.9994814751809961 -2.2777685360781144 0.06386852667638632 -2.44813351509587
