Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 114755105534.31956 -180250800360.19894 -2897226867.89449 17788.68501075646 27808.573912478965 -660.9827367552558 17590455.093064394 768.0905711730272 78345960707.56677 0.07670782970440677 0.9994813461453855 -2.277664110981059 0.06363307322813228 -0.02230324971559039
0.0 43966965833.1976 20707192881.4646 -3482255442.187244 1594.9105912576806 -2767.824719556582 673.914853973932 19142728.227754172 785.0689290878762 78345971472.4946 0.07670846903134512 0.9994814063574844 -2.277691607768931 0.0636747301110745 -1.0903092890012887
0.0 66311596134.80136 17880539874.014027 -6339339775.411312 -3724.529474217131 -3359.204492195222 506.88924393953016 36684526.85949764 777.5551571157523 78345979714.97357 0.07670845277966726 0.9994813879052266 -2.277701088488234 0.06371949924750364 1.7978032612190624
0.0 28351025556.77829 11429784982.493683 -2795336118.841341 3111.942959100601 -283.4062469611854 690.2324212274087 37094166.96137106 789.7802095859656 78345982151.7204 0.07670859569546495 0.999481401304603 -2.2777072714193336 0.0637289745586136 1.453850549225095
0.0 92126675607.48975 33595625245.286865 -2624795629.6183867 -11731.830575030526 4854.737158990105 25.544570591231604 44190622.844217084 816.4669089839695 78345982356.90121 0.07670838931812687 0.9994813745555078 -2.277702794377702 0.06373533160777711 3.220610933055448
0.0 -11057669.404327393 -215961.48974609375 8341995.31413579 3405.217965686129 2104.9025422016493 9.10582332051274 44095020.899879724 837.7487761682991 78345985205.61157 0.07670857416363253 0.9994813924882124 -2.277710429177246 0.06374595659639937 2.6570335862772234
0.0 -131331731357.53983 333820903799.48083 5908450881.431117 -50086.7324009735 -11888.722041694065 -64.4978469646519 67918817.83871964 849.2142376714954 78346011381.07971 0.07670950863591344 0.9994814597472805 -2.2777631003271406 0.0638630303464689 -1.9858676660933048
0.0 4326075.013702393 -426481.07441329956 -13951442.581134915 2315.3486210023166 1616.8685572222748 302.0721652999261 67672976.6883562 876.4219198597913 78346000421.82379 0.07670881649610559 0.9994813931836392 -2.2777341627924383 0.0638216719614606 -0.47731494967998356
0.0 108916410830.33755 182632690444.78574 3526738596.423424 -27049.5874115656 5595.4151690779 1135.2742495238572 76493036.29910287 865.1731789523212 78346039479.30142 0.07671103751157768 0.999481599037018 -2.277831670898914 0.06397532177163523 -4.401440236642726
0.0 9201828.327392578 21920146.463806152 -58664842.035283566 1314.8918535768844 2233.6726648699187 868.0710944655776 75774304.91598836 902.3504845960549 78346044282.0835 0.07671136639568597 0.9994816314643417 -2.277844937360059 0.06399279606331376 1.0431087950276743
0.0 64031159528.51305 26355339409.964844 -5668048798.1563015 3444.5712413792044 -3532.6149860128753 -95.31252086988299 64876411.33980589 805.0230653970939 78345997893.9483 0.07670874158422084 0.9994813886451359 -2.277729426989186 0.06380997535940924 -0.7322187760253325
0.0 14609145.32546997 -6337070.322227478 -5414904.854575157 2109.0141021765635 1509.1508120793078 256.6680392531029 64196360.70187523 852.5477604486738 78345997206.19763 0.0767087187041785 0.9994813870912712 -2.2777280813528353 0.06380685671134767 -0.779724858279877
0.0 63748645488.38953 18362964562.109436 -4559801303.185987 7332.214793183461 -14.338147219579696 913.0816211555825 24875230.985031728 783.3472165537206 78345976093.65347 0.07670858679615748 0.9994814122060639 -2.2776998263195836 0.06369660062704696 -0.46549104765792126
0.0 34647923110.67111 16739257379.552948 -3167327758.8224697 1931.9116624606431 -1833.7796368925774 671.5866157258588 25667067.75842335 800.3253948387263 78345975334.00684 0.07670851380328203 0.9994814043990724 -2.277697248066377 0.06369437059916994 -0.15524983594470276
0.0 -334478227912.91205 -194500582039.39868 5628415127.020629 30194.39093248498 -43173.75849816491 -849.0223807949593 29343153.929509327 789.2992171232286 78345997730.1659 0.07670983009370533 0.9994815278949799 -2.2777541383668467 0.06378138826785484 -2.976190886965052
0.0 2789016.142211914 9628980.283615112 4417505.956900358 2394.68217406019 2111.7553507622542 70.22804993811977 30134584.583616663 812.7203819640105 78346012825.37546 0.07671076943821045 0.9994816177792438 -2.277793676294328 0.06383871149776965 1.461967887056733
0.0 72628322818.52222 37016416519.22873 -9439778979.208576 -9026.296025609136 459.62806760545936 525.1718500681691 19851493.6741239 779.4380740185874 78345969370.15396 0.07670831287733536 0.9994813906040783 -2.27768552165229 0.06366739129896448 -0.6230453373411775
0.0 42145381714.26343 21430046832.124954 -3525050890.4395633 1463.662346952775 -2663.313005342705 682.0748553658141 20584386.682114102 789.8448500919263 78345972350.25143 0.07670848048831484 0.9994814060757569 -2.277692919146531 0.06367916199599666 -0.8859752934564769
0.0 13027927281.844574 74481153706.71187 1505946035.5239825 -1329.737535080776 -6326.007937710499 1362.4214710322738 66574601.883319415 830.6671192777733 78346038231.32156 0.07671126458444465 0.9994816304928089 -2.2778353749916893 0.0639628263206724 -0.26052310174538973
0.0 -18166070.62854004 -24235666.380508423 2242115.333830714 2309.018203115631 2004.4007321640565 549.1565821946157 65411037.47180405 881.393299653897 78346036253.55307 0.07671117429141747 0.9994816228997216 -2.2778309448050527 0.06395448151841343 -0.2253798267986682
0.0 -190334964465.5279 -308881216986.126 5782751507.138125 47871.736393469226 -20416.648727406613 -1208.750571688795 36940866.86291201 796.66775823701 78346004184.39294 0.07671000721209628 0.9994815376757388 -2.277765906184288 0.06381161240358857 -1.989712139217199
0.0 -4971119.910247803 -2936395.5394706726 2868318.07006073 1955.1785720249363 2314.639151823052 1363.7932955528797 37292805.49521462 818.5155051050383 78346017661.45645 0.07671085683132206 0.9994816193240191 -2.2778014567889002 0.06386251162894574 2.391624012479464
0.0 56368785879.73367 25891267044.67457 1944093923.836398 -416.37391309100803 -3708.427761381994 154.91996748881013 36928923.09280093 785.6625322761755 78345981039.12457 0.07670852976740064 0.9994813951005123 -2.2777044329271865 0.06372466537602417 1.6165018992061282
0.0 2312917.173324585 1508391.217163086 10888623.313024282 2946.741783933132 1062.528332573589 -824.9971272453715 37629729.44364023 782.9572143913952 78345977569.68924 0.07670828657123119 0.9994813709534839 -2.277694720974799 0.06371218525535483 2.4232698202395424
0.0 70859037863.61777 96940581371.71548 9338323409.417274 8814.269836556552 9082.576222113952 972.9016620244597 66453337.94210424 851.3007450391059 78346002817.25937 0.0767090071642853 0.9994814127598434 -2.277741389007309 0.06382970952723799 -1.1721915709293427
