Label t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 68960435.99093735 861.7513299037528 78346004159.23407 0.07670901530959198 0.99948141113291 -2.277743179507264 0.0638367238120745 -0.765830716199436
0.0 71156540.6680162 853.2043098285901 78346005907.55801 0.07670905901844617 0.9994814132377253 -2.2777462694949033 0.06384501959943378 -0.494781251665553
1.0 69123432.28946173 849.4059991949312 78346040820.42093 0.07671135106735072 0.9994816363851985 -2.277840448745286 0.06397455787237138 -0.04108438215842969
0.0 73342739.95749007 866.4800592996086 78346048114.79468 0.07671168631548084 0.9994816646738022 -2.2778568391333716 0.06400527825275404 -0.0208603305552488
0.0 70031632.45516205 877.1705942260163 78346003306.06021 0.07670892770507452 0.9994814016468497 -2.2777401551153016 0.06383436239367146 -0.37015909658481316
1.0 75075201.01459648 862.5331810193119 78346050113.29703 0.07671176033760202 0.9994816701492243 -2.2778609217948733 0.06401414877181644 0.1396688621072196
0.0 75641856.94851707 845.1148617235959 78346012266.81201 0.07670932633257793 0.9994814347201584 -2.2777599876363355 0.06387243691223699 -0.2828040675557056
0.0 73038738.85867298 885.8999496806995 78346021297.32666 0.07670998343534156 0.9994815006415816 -2.2777858179499635 0.06390430790114632 4.240774188173074
0.0 67146176.79060954 885.0405375320978 78346014439.40121 0.07670972780436536 0.9994814816425183 -2.2777717710581307 0.06387390970454199 3.7864451221381366
0.0 42169891.460239515 810.089098714968 78345993636.44043 0.0767091720080318 0.9994814520408614 -2.2777341867175673 0.06377610877717554 0.7061230546860542
0.0 70198917.70340246 847.6297701899744 78346004208.42249 0.07670898014669678 0.9994814065471904 -2.277742433711054 0.06383788350993491 -0.47024913696783166
0.0 74409429.44271018 866.6652672522869 78346049375.32047 0.0767117338090349 0.9994816682300951 -2.277859432636112 0.06401085270677953 0.07417195257593351
0.0 33238693.04304328 803.0422241435106 78345985538.23877 0.07670893116448478 0.9994814373925501 -2.2777189956347335 0.06373865986439053 -0.07305271869647756
0.0 67337442.08677599 864.4552109396041 78346039861.29175 0.07671134506424512 0.9994816375245188 -2.277839164894771 0.06396954928044352 -0.3281385409729265
0.0 73881099.42910743 878.0425091588975 78346009929.27316 0.076709231538281 0.9994814272659586 -2.2777550244031755 0.06386227063792038 -0.40086478114426866
0.0 69264664.60628136 850.8606587171926 78346004181.20258 0.07670900730314326 0.9994814100673648 -2.277743022564611 0.06383704581975369 -0.6945305696206094
0.0 75530532.01634084 866.582269765751 78346011510.41364 0.07670928147995473 0.9994814304984121 -2.277758057168265 0.06386950811419911 -0.21186631848175083
0.0 75077227.34476447 881.2428570767631 78346010960.27457 0.07670926037357678 0.9994814288976935 -2.2777569166096394 0.0638670848538565 -0.2491083746294862
0.0 43750099.39978357 811.2169022192879 78345994494.22711 0.07670917790488749 0.9994814510891662 -2.2777353469981483 0.06378057471772625 0.943488428440652
0.0 60958098.74736957 836.5887142852832 78346036832.61801 0.07671134898420692 0.9994816440412813 -2.2778356342872725 0.06395315121830336 -1.4175698203150837
1.0 68479360.84477223 842.0265681868509 78346002713.26242 0.07670893786363234 0.9994814041213818 -2.277739678965692 0.06383091378946659 -0.6548033838035232
0.0 71536027.28964126 864.5308240535514 78346005737.00949 0.07670903639231537 0.9994814106887877 -2.277745547902528 0.06384467772349023 -0.3771012090442821
0.0 73158750.0875733 904.9333744808041 78346021891.84116 0.07671001768312682 0.9994815038312658 -2.2777873122529004 0.06390663547428144 4.180967935106323
0.0 46722945.17530061 838.4253857541856 78346001876.99142 0.07670955734705553 0.9994814848475336 -2.2777528542857697 0.06381064588756757 0.6027951614644899
0.0 44504479.3065229 816.6572447245628 78345994656.20978 0.07670916491606365 0.999481449109513 -2.2777352434141886 0.06378177700311038 1.0947919920489544
0.0 68981549.1955486 851.6435294031312 78346002741.95654 0.07670892416413758 0.9994814023158192 -2.2777393997946804 0.06383141689386207 -0.5364599091617654
0.0 73325830.67076227 868.3903817552617 78346006937.9867 0.07670905771936937 0.9994814110244999 -2.277747471485298 0.06385059774028168 -0.11995915184649908
0.0 72613893.98211704 897.8349041536179 78346020987.11472 0.07670997676799546 0.9994815004070567 -2.277785294578886 0.06390280825229677 4.18707549951877
0.0 42437503.86896437 795.6003212830144 78345992172.55472 0.07670907026297599 0.9994814419638612 -2.277730108753233 0.06377082083533203 -5.2824357380454865
0.0 46646013.059847556 809.4434860537793 78345996209.38586 0.07670919785256863 0.9994814502270926 -2.2777378536412893 0.06378929682218182 -4.924001666927902
1.0 69874410.0687352 851.0732592670289 78346044544.78632 0.07671156564014815 0.9994816563671685 -2.277849810469937 0.06398913840451392 -0.387659003367606
0.0 63699546.27152486 883.2593260260493 78346000119.66055 0.07670892009275972 0.9994814070066302 -2.2777361720910982 0.06381740908715106 -1.4094118374612368
0.0 70244232.2145915 879.8787831737469 78346004270.06158 0.07670898268083469 0.9994814067481615 -2.2777425653765957 0.0638381507082082 -0.4687397962383695
0.0 75521905.7685564 847.8453198566732 78346008982.8638 0.07670912036392304 0.9994814149569429 -2.2777513492404267 0.0638600074098914 0.1214318709235489
0.0 69251862.23131984 862.8904198575159 78346041191.57141 0.07671137079305941 0.9994816381649833 -2.277841343758686 0.0639760530776794 -0.06474668618173474
0.0 69103134.63485488 837.1813176171146 78346017333.76471 0.07670985208356608 0.9994814917529016 -2.2777780745574407 0.06388632195637012 3.8781157108384265
0.0 45284881.249530226 811.2894758268287 78345995533.67926 0.0767091968058998 0.9994814514361535 -2.277737021990509 0.06378568726413114 1.1436817318816073
0.0 66723299.3079491 865.6834602166516 78346038971.96664 0.0767113072753819 0.9994816344690426 -2.277837237165809 0.06396572536663392 -0.3402581375114879
0.0 74691840.9780072 869.3856768954969 78346009281.45096 0.07670916510065773 0.9994814200735201 -2.2777527298150515 0.063860475523831 -0.11805051658185572
0.0 68184521.40416256 822.7181722973816 78346016434.9219 0.07670982310360977 0.9994814898402955 -2.2777763370158524 0.06388222261187604 3.782894772475137
0.0 66148784.399604425 864.9877914750448 78346000993.20667 0.07670890011861475 0.9994814027215535 -2.277736759232189 0.06382261832603131 -0.9469833358004548
0.0 70352174.74767828 881.9348239934349 78346020703.63086 0.07671002861777113 0.999481507587503 -2.2777861421391434 0.06389996300460421 3.6989282972186475
0.0 73478386.22811581 907.4698053692821 78346049818.36783 0.07671179089253237 0.9994816746339522 -2.277861268407546 0.06401178394791707 -0.20547882204349074
1.0 55460206.773932 812.5154832163279 607334075.4614868 0.019988742324898574 0.9999864397868099 -5.189321267555223 -5.653672307086936 3.813691812581693
1.0 29721639.11852158 792.0854212699188 5815085952.270416 0.03365300622655137 0.9985195677446954 -5.717040841499701 -5.456157174432083 -1.3223829776501494
1.0 52577888.367326595 833.2427555264669 34461799618.49414 0.20867387119604894 0.9992341930870249 -3.91449105741793 -2.3813527477268575 2.1349039277630024
1.0 29452715.155086666 798.0135661231227 10563354704.806305 0.06640382699390435 0.9982350504615644 -4.550287795505337 -5.496566029120749 -2.2442810809371063
1.0 49898706.09894087 823.868710684829 9200843572.993164 0.002588210275082669 0.9990545290613867 -2.6571018047812194 -4.004051334866342 -2.5850076050932165
1.0 20426421.140580695 772.8700815361416 291125282.30322266 0.009051242154278324 0.9998830128527099 -4.788128342629985 -1.9022845957305523 -1.8612730933820258
1.0 74231617.55720532 881.2402644775254 8248722887.144379 0.06963788503039356 0.9957872611551517 -6.18878080093349 -3.8233265335878848 0.15528200780153023
1.0 26512438.385759667 796.6372530079717 17412442779.91095 0.06733588984765976 0.9997635384954776 -1.892716887529634 -4.501295191651593 -1.5940933057434563
1.0 32170835.33294872 782.1826447602139 8453691470.373108 0.05795664195336242 0.9999933456785371 -5.721645970607456 -1.9196664138343085 -4.335091773440764
1.0 20600018.852208257 782.4371883809952 14842207483.958313 0.11721511922227881 0.9996129364928648 -2.788617988156121 -7.8349943978493695 3.1763798197335453
1.0 27426795.97002005 777.9930893485802 3799483597.897339 0.00019989397771016243 0.9998598451207051 -0.40322076147602726 -4.272092122230592 -2.6895617149007793
1.0 21515614.69499313 772.4262489418076 1206417295.4946594 0.018546300533924413 0.999997009257132 -5.157154406608475 -2.0486111023236804 -1.078255258302216
1.0 24983146.303263035 782.5546298933605 18260588992.384247 0.13777751683983802 0.9986491539143393 -0.03763289889167787 -5.279188122594216 5.074722783709845
1.0 64170685.52581344 823.910007441442 1117381038.3565063 0.0488467133502257 0.9998509024114621 -0.15460112745138543 -4.237513013056752 -2.2345524700123307
1.0 27044023.116846792 785.764017549418 9831800880.02237 0.10138087682050383 0.9977718360108306 -0.8652617161256115 -5.88594793622832 0.08449836840501979
1.0 26422761.472688913 790.3847147044154 6573980848.319153 0.09427143246761772 0.9988640519131754 -3.800762964808478 -2.4512323889261034 -1.7183711173562723
1.0 40838911.101951525 802.582566420455 8813513517.715973 0.008816908056993904 0.9999519728921303 -5.888631093241017 -5.995810428651566 0.6462166130372882
1.0 39569369.67976581 805.4546915146028 14624632156.902924 0.07300006949955364 0.9997167077267615 -4.134803448130688 -6.61746193432686 -1.3577368009772792
1.0 77102921.95833579 854.9686629790348 298593969.30093384 0.020574947794801405 0.9998020512457356 -0.15712067749249092 -1.8009370302099335 4.110164213077844
1.0 37788258.10772104 795.5860903288531 836593814.4892578 0.02439470042938671 0.9998131966396957 -0.2895252812027276 -6.4580582161311755 1.6836003405045328
1.0 36044473.83979723 804.1038424428493 7907466298.7211 0.007831645496840598 0.9994775368906667 -5.620967423773152 -6.951275091171427 0.5947227325256499
1.0 72424819.6310659 887.2282734150278 40956888707.28781 0.12362392639819157 0.9987894015021369 -4.421546091628869 -8.029058176752475 -1.9721267660753186
1.0 76102242.18470737 874.9821884580608 9431683491.170563 0.10412950497523293 0.9997628190090114 -1.9910676297942895 -7.528309449090122 4.116138486890808
1.0 77408457.69717532 909.9525404058346 219089962.4500122 0.02826248739209095 0.9972148390973602 -3.4619756801845893 -4.519377152354516 -2.4907489361364745
1.0 76294774.28973566 853.429010746138 7741436126.466705 0.17756794889269828 0.9990417362450653 -6.017300211655776 -5.73924808300226 0.6364464500373226
1.0 29812341.863707036 779.5835606010216 15322067770.78543 0.041606092796473926 0.9977849297713046 -1.622637019729166 -7.519448019155298 -4.573316082095344
1.0 22875990.94594466 767.4447427340344 2675390613.9561768 0.01177932209113684 0.9954383272880533 -1.5982636557476915 -3.1670882488131227 -3.375813096389425
1.0 42443843.5637333 812.8874674624034 1490377087.4244385 0.01561970560660994 0.999106549961885 -5.87810105235905 -7.195655112893068 -3.519569340008647
1.0 17364214.423351422 777.3024273845454 2154042073.9142456 0.008448784778333676 0.9995696282216952 -3.176770631392232 -4.4887368928291504 -1.524819508851584
1.0 23873604.91484221 789.5015782718257 258239320.365448 0.032854061206419004 0.9972107823104396 -3.5680520854227096 -2.538376988904247 -1.858090047256402
1.0 72639324.74570173 861.6016569115071 31498376336.207184 0.0972079820146932 0.9998774008810506 -1.9569595701374234 -2.9064563336601075 -2.236811054334229
1.0 37089453.73093128 798.1200043400405 9552189188.161957 0.10778208863041858 0.9993445699281079 -4.454842756173997 -2.3855958052905026 -4.0019610733279345
1.0 53543084.7151743 825.649996616362 9937972678.301056 0.05005690301160408 0.9983934941392184 -0.292920344712289 -5.717954501924935 3.407762170456965
1.0 40592187.11407293 805.4273775719281 2254113642.3942566 0.032760143854553454 0.999919334568103 -3.8101221330204793 -4.287661959315794 -2.5650973160576696
1.0 21174897.13351952 785.4008700579728 1533486887.2622375 0.03710671835524293 0.9988191877186298 -0.4371406280144745 -6.762138328250478 -1.267167284658738
1.0 60021275.15047526 835.0089058152186 15685663192.601059 0.005471643309197589 0.9987213789289894 -2.8152804433281444 -3.0384188449580805 0.17228327129599075
1.0 25873650.88768772 796.8560546536713 15206588390.175385 0.08602878272940355 0.9988055363085582 -1.384612022211353 -1.9203554992609506 3.189730662343185
1.0 28862418.821663395 787.0551529411956 18121338408.04535 0.12368064452698835 0.9999860887026558 -2.864470491120855 -3.4975384653040886 -1.6353130690543498
1.0 37083315.43299751 806.3628811653952 490049539.11431885 0.008863759378913623 0.9995896107511518 -0.18691614468495743 -3.098389957426483 4.439157225758219
1.0 26175691.10845106 778.9816083971793 1374993733.583374 0.018279618816010517 0.9998086997521991 -5.724439265222534 -8.039983841075504 -0.06130993898887138
1.0 39074948.43376489 798.5326892053655 3341970001.65625 0.01008668516059879 0.9999997986400739 -3.1045292535006936 -2.688515048049618 -5.08300050942986
1.0 27523290.830342643 795.0658529054645 3477904024.623047 0.001049251444553808 0.9983061305391911 -2.0181549417296534 -3.2532072337388405 -1.805836758221234
1.0 30945731.55683899 783.548703356449 3702944612.1174316 0.008933430787874168 0.9995346996027306 -0.183750523280803 -7.5489740197206565 1.345679575780887
1.0 24233712.42051167 788.1940432469934 5243346945.370911 0.0010565634047494804 0.9968948048043963 -4.839100259136976 -2.546453080781194 -0.2650894466609128
1.0 71783319.02494016 843.8714774059549 3077583200.3988647 0.007676205338827392 0.9997137741891977 -2.9045363718232977 -4.085751815691557 -4.0823109992154
1.0 22946513.99247569 785.1292391042958 9315193068.433655 0.05308545239814669 0.9999394875093015 -0.6044071074378246 -6.812677437266398 -1.1847364777876177
1.0 68112594.90806603 822.0634804966268 18961637358.791122 0.08833065628933212 0.9997226680315063 -0.18340521782949581 -3.7990727021119084 1.6834890432313643
1.0 65766739.86651368 841.5170483032949 13935292496.772858 0.02915599328766268 0.9999850396844893 -4.719638389667602 -3.5393798868280193 -1.6884761159514232
1.0 77736888.57536416 833.7952172542165 17526780685.11093 0.0353348530229324 0.9979618597849266 -1.4506594079205724 -5.649563475741177 2.4704906015924104
1.0 31199665.735158324 780.6594163846403 14286364668.72583 0.050728251471242145 0.999707698514956 -0.47648838952921446 -7.938292178888776 -3.461578816483609
1.0 28251424.840966236 783.8531980346347 15518683054.935516 0.05328241324849724 0.9998452256001393 -1.880726612018758 -4.3458743469133365 -1.3430059923715894
1.0 35904927.87837614 789.5212988087194 4786378981.287201 0.008515498780410014 0.9997042345589486 -0.1636391996812221 -6.805721874511295 1.334687285714611
1.0 36799607.531045154 791.0742865377714 7489929818.096436 0.04605751033406779 0.9997956741331272 -2.3903585310195177 -4.659441495821284 1.6210031691483462
1.0 59521244.16215687 847.0426512650224 342139714.5796509 0.016411258240411248 0.9962106475057696 -0.5729275816002826 -5.345569758041142 5.371611849534558
1.0 38895570.80349215 803.5911121699751 1945135874.455841 0.0380783318295578 0.9999028979409971 -0.26708923017306274 -5.273599111244447 0.49584787006400255
1.0 45369893.218303785 827.751407875823 889366678.4662476 0.10921349952972423 0.9990911358062917 -0.7273927656914196 -5.690072291497625 2.7135194459736236
1.0 32291648.568362232 778.9232509287573 5255472353.113861 0.03227158147402795 0.9997931924193617 -3.1317496819818045 -8.064749406149364 -1.5199180725465944
1.0 76706288.79110591 812.5043445191758 1980129415.8165588 0.044703434913578685 0.9999835874411612 -4.025041697611225 -7.690864640930505 1.2056359675958688
1.0 33627245.76359752 783.265860687677 1344053282.5525818 0.026738638303678917 0.9997621977483335 -4.740087170828536 -7.316049316986529 -0.05740069933690961
1.0 32133843.75103262 808.3052119975619 7687107977.466248 0.0032671399095342314 0.9998960027733915 -4.917940894050166 -7.9454852698575165 0.6083383691223259
1.0 47901996.690061815 828.4939384473182 5808418886.493042 0.07631287672011537 0.9996568248401017 -3.5780349327642984 -5.342595092792619 5.475555102035379
1.0 22535046.02298959 780.2585635428028 1348045096.941742 0.01742683114548405 0.9997587538380733 -5.5217707216622465 -6.634357654277971 4.164169409349452
1.0 55933043.12051535 822.2809973539063 154188020.4041443 0.08114463993693995 0.9999390546019165 -3.3819907775627036 -7.900066296210067 4.202584033107792
1.0 61234142.27996611 837.0129887424254 2480363024.7946777 0.04045120308440801 0.9983995981991075 -4.54559588106113 -7.687892019530677 -0.5353586663863278
1.0 44315185.619253695 803.4998443768054 15298226086.642883 0.1390454564881573 0.9989469914321137 -5.666894381821926 -8.020507816081373 -0.5468398498416636
1.0 30028107.50638541 778.847732783922 85814382.22860718 0.0026411827154881017 0.9989626090461309 -0.9077686784611219 -4.92335840690459 5.538156635066095
1.0 48389657.46915631 834.7474310926065 6188285784.475159 0.00745777669609235 0.9995086048855409 -2.1736035011737864 -5.224742522945372 -1.9511465205897078
1.0 22705255.853236444 775.3060753279261 288406120.93814087 0.06284997864387923 0.9989774663326316 -1.8472250161474633 -3.7731522411981944 -2.5485058074951685
1.0 50608252.9701336 833.6049976302676 5918843766.148468 0.05405325083939523 0.9982658455949645 -1.0863504341014205 -4.986280584843334 3.1025513758135155
1.0 49567108.10152508 835.3659369509202 5629400544.414917 0.03434721038365415 0.9997035937966686 -5.237003442936798 -5.723623580485962 2.7582935735760308
1.0 51620227.00132828 818.9627576886969 138722207.66140747 0.09869402899284449 0.9996248442680062 -3.392551553812715 -2.588541952131428 -3.1121905398943994
1.0 69284596.51164454 816.9363682270177 8094554572.058228 0.027424094724153605 0.9995349759873152 -0.1822809633149287 -4.798020438799683 -0.9094124060655672
