Label t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 75867230.02880087 856.3973384255415 71689352482.45255 0.14623285257829677 1.0 3.552713678800501e-15 -1.5190327843692601 -0.5408894597661024
0.0 74508793.55084455 858.5698979952153 35246801894.98804 0.09075058857773333 0.9998175574529897 0.33687821036506627 -0.5890605047599438 -2.0000540697092033
0.0 75396380.075151 853.3494734182697 68985430913.53922 0.10401186305215704 1.0 2.4424906541753444e-15 -1.7236765245733965 -0.09528276321903628
0.0 72757686.87514207 844.609634644231 31891978238.911316 0.07969227710859263 0.9978826214460386 0.8857337352256014 -1.1956711268265665 -1.7084451814091866
0.0 67282960.90421939 838.6873320228246 108640533519.45273 0.2605573772679811 1.0 7.327471962526033e-15 -5.744967573245347 1.1131464148461991
0.0 65943086.28537943 865.6298698765873 32697155916.876312 0.07662030148404654 0.9735568247498231 1.3909685776548797 -4.446274315153902 -1.7350526610025925
0.0 37271430.33056457 807.9796084193429 79896809264.37369 0.12942798140585887 1.0 0.0 5.47841285796198 -1.4309805899313999
0.0 38926414.45206968 820.8977290199232 25708763998.84726 0.21601728519600877 0.9999661549746947 0.2724442526646853 -5.5942667047731565 -2.615430453210936
0.0 35346976.48678275 797.7874176941096 74255271450.92374 0.10783507483535666 1.0 4.440892098500626e-16 -0.5737954213183909 -1.9139899272322327
0.0 35876799.93270447 794.7721271348652 19647674515.41617 0.18780927783451462 0.9996818742411082 0.47263971349668044 -6.037872745116774 -2.7203790630523446
0.0 69922645.53010225 847.3153894005 60326583073.523285 0.005044275254753677 1.0 0.0 -1.725402370341217 -0.5655950397016603
0.0 69114973.56438099 863.7987233819571 60247849498.6402 0.08015645231041907 0.9983733175943409 0.3709400859139431 -1.3608116057935615 -1.112063542943028
0.0 72407640.15035783 834.3880453550606 120851229113.12418 0.2534497073022234 1.0 2.3314683517128287e-15 0.5972992127181684 1.2345575533981534
0.0 69983286.24299623 852.9091293194942 3053595190.8418274 0.4450047378877926 0.998940083050497 -1.3884650574323976 -2.3112167152407337 5.4372416631172165
