Label t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 19000164.86389251 774.073999729574 0.0 4.996003610813204e-16 1.0 -2.220446049250313e-16 2.7200464103316335e-15 2.930014576821251
1.0 19622372.93898078 775.6273842020624 6095282026.541412 0.006876231963049734 0.9999998856731381 0.047820997486588857 0.05397819771606277 2.8789605495322155
0.0 75689459.02824426 910.121078169759 0.000213623046875 5.273559366969494e-16 1.0 1.3322676295501878e-15 -4.093947403305265e-15 -2.2179781349380203
1.0 75322984.50108688 885.4872887965536 9828081239.27771 0.0030583014139410336 0.9997024832705377 0.606032239421991 -0.699716705550691 -2.1317391070716827
0.0 19867247.60494132 770.4590276719027 0.00018310546875 4.996003610813204e-16 1.0 -4.440892098500626e-16 1.2376905056399323e-13 2.799717109936121
1.0 19849704.653451383 771.4836544950197 5114948210.16275 0.0002111254182216027 0.9999989252471336 0.02631982649481346 0.06978021313223927 2.761093823337007
0.0 31023220.188110664 792.2666746526729 0.00018310546875 6.661338147750939e-16 1.0 -2.220446049250313e-16 -8.881784197001252e-16 -2.3424287223827696
0.0 31228956.93047742 787.5216900333246 1968772653.959381 0.036286726512062245 0.9997286737883386 0.25329956342028837 -0.12169086334029355 -2.4744605815359764
0.0 72410697.57568304 844.9383266061749 0.0 1.1934897514720433e-15 1.0 2.4424906541753444e-15 -3.885780586188048e-15 -2.135008028023456
1.0 72401617.97982705 841.3392637834213 7538086976.035126 0.006469087125724415 0.9999554671642897 0.40605696860815377 -0.10439399715073941 -2.3962626083324876
0.0 60882693.94979676 852.0740660080828 6.103515625e-05 1.6653345369377348e-16 1.0 -8.326672684688674e-17 -1.3322676295501878e-15 1.9974176410396505
1.0 60821467.78115266 847.995181490688 2076729435.629181 0.01060699373100249 0.9999530302820718 -0.013923457140141593 -0.07219348318791541 2.1002986599814544
0.0 60755825.12975272 860.1399846643824 0.0 5.551115123125783e-17 1.0 -4.218847493575595e-15 4.218847493575595e-15 2.034452145970726
1.0 60470537.93165603 856.3223298447905 1860342157.112091 0.0105672431542162 0.9999999959231979 -4.347157019287341 -2.0417435728850064 2.111667304372731
0.0 73981591.51929699 855.2587706862328 9.1552734375e-05 4.163336342344337e-16 1.0 -5.551115123125783e-17 -4.996003610813204e-16 -2.1472663932439406
1.0 73423602.96788272 848.9348687780202 2749464618.802063 0.007627457071061189 0.9998863642364197 -1.366927009334653 1.3801469695059947 -2.2955932739137226
0.0 75660503.83527717 868.4593584279633 6.103515625e-05 6.938893903907228e-16 1.0 6.661338147750939e-16 4.996003610813204e-16 -2.4479105086817383
0.0 75589683.97137341 870.4091412358072 2324216269.8227844 0.0016372220713165297 0.9999878278952475 0.08884263377131929 -0.10695561044104171 -2.458491030754558
0.0 66482774.56702434 863.3951459052518 3.0517578125e-05 1.1102230246251565e-16 1.0 -1.7763568394002505e-15 -9.769962616701378e-15 1.7104873944709416
1.0 65653907.224074684 843.459583973492 5889893535.018097 0.014068057079306806 0.9999866184072068 0.7814689064122695 -0.8228244890866119 1.6866320768588243
0.0 72244470.0241363 836.6346646414146 3.0517578125e-05 5.551115123125783e-17 1.0 1.7763568394002505e-15 -2.1788126858268697e-15 -2.41609485571784
0.0 72106519.48561381 834.5908027295859 2068614358.8900757 0.0018105711796181645 0.9994676491215776 0.32951356776727336 -0.23888642166946916 -2.4685372131769547
0.0 38798252.331073195 811.2073900430636 0.0 1.1102230246251565e-16 1.0 0.0 0.0 -1.9120533378883287
0.0 38944379.98489887 810.0101126355942 986176128.4741516 0.011010863744803978 0.9999999276927077 -5.373486086547382 5.454405763266244 -1.9583579868020518
0.0 68029489.38840732 842.0156780025181 3.0517578125e-05 4.996003610813204e-16 1.0 4.440892098500626e-16 -1.7763568394002505e-15 -2.6961110559225863
1.0 67793695.90363549 841.9118196522642 7546788886.524994 0.006151089579648272 0.9996806600951319 0.20336663181825543 -0.3412897750197053 -2.5546209781403473
0.0 67231177.42265989 845.907762153846 6.103515625e-05 1.6653345369377348e-16 1.0 0.0 5.773159728050814e-15 -3.2666329933028226
0.0 66777793.757319584 840.5573543653754 8346117786.796783 0.011464895930347968 0.9997042236510404 -0.09367281380095416 0.02537264604564271 -3.2728632469505254
0.0 17874051.818455923 770.3311754240925 0.0 6.938893903907228e-16 1.0 -2.220446049250313e-16 0.0 2.429826105223796
1.0 20182600.591413353 769.6611275001349 2079738409.734253 0.007369703366114033 0.9999983390201205 0.03830889934089632 -0.06228791008210341 2.754654753223385
0.0 47634745.5240748 806.5050928476345 3.0517578125e-05 5.551115123125783e-17 1.0 0.0 0.0 -1.7394568768312926
1.0 47558614.20319157 813.9610023610063 2655956416.3081055 0.0021271905602534558 0.9993394597219192 -1.206210358581376 1.1735189219711746 -1.6818851563948354
0.0 18222689.233054288 767.7775709397876 0.0 8.049116928532385e-16 1.0 -1.2212453270876722e-15 1.609823385706477e-15 2.4225516688617597
1.0 19878310.28071727 774.5323980348071 1587114613.9684753 0.014315466866315879 0.9999878271533027 -0.05294201437898216 0.04453412448000796 2.625221764099213
0.0 32786177.769674465 782.7799123975094 0.0 6.106226635438361e-16 1.0 0.0 3.552713678800501e-15 -2.647442909734948
1.0 33283279.829444394 781.9157565715396 63783903.55142212 0.00923292160407474 0.9998408415989998 0.2522111270930236 -0.20976713224791643 -2.5949837369231976
0.0 35355000.65321096 804.7784295843846 0.0 1.6653345369377348e-16 1.0 0.0 -8.881784197001252e-16 -2.270553857182615
0.0 35540892.34392261 804.6284888855583 1094059428.9624023 0.02864715735464224 0.9997266710696682 0.08388352631691331 0.04199210676302023 -2.3572936117414445
0.0 65178805.59314787 820.794913246648 0.000213623046875 5.551115123125783e-16 1.0 -2.220446049250313e-16 -3.1086244689504383e-15 2.5636285572145274
1.0 65225542.25291027 821.3107522538465 3042463936.672119 0.004999646805327107 0.9999029656011792 -0.3922286231678911 0.4500016066518473 2.5297208395010604
0.0 76289686.68634862 829.9848867108423 3.0517578125e-05 4.718447854656915e-16 1.0 3.774758283725532e-15 -4.3298697960381105e-15 -1.6455752739891258
0.0 76005623.6303318 833.0167332886796 19885696612.960785 0.0077526097560574325 0.9997272373718107 0.7287743375446016 -0.23758089493964768 -2.1821534404593645
0.0 67680724.9949474 837.0797434174791 6.103515625e-05 8.326672684688674e-17 1.0 3.3306690738754696e-16 -6.106226635438361e-16 -2.6093980130013463
0.0 66667302.65671801 826.9938402242611 5174241908.450745 0.038229709513529775 0.9999070853000265 -2.073471651185196 2.337467360636202 -2.734819321704593
0.0 36236528.026393056 778.0661747085989 6.103515625e-05 5.551115123125783e-16 1.0 0.0 -1.0658141036401503e-14 -2.3662620294208683
1.0 36111967.60557218 784.8440794616515 690568982.7875061 0.010689020121634474 0.9999950497793652 0.3927982154961902 -0.3423375676861413 -2.423339715888451
0.0 76320038.46833715 907.7397673752392 0.0001220703125 3.885780586188048e-16 1.0 -2.220446049250313e-16 -1.3322676295501878e-15 -2.4325031410490348
0.0 75881841.86612608 894.7585970914994 4731214483.813446 0.008914181222305917 0.9999471330432977 0.11995481013315956 -0.17999075958120392 -2.462023605108354
0.0 35124905.36554007 796.4862334167443 0.0 5.551115123125783e-17 1.0 0.0 8.881784197001252e-16 -2.201865788979363
0.0 35004790.622341536 796.0100048894898 3482425821.472748 0.03214784234988877 0.9997252289308083 0.4324683321273013 6.03913091657242 -2.469243128259331
0.0 58565502.82276052 832.9222468945559 3.0517578125e-05 6.661338147750939e-16 1.0 4.440892098500626e-16 0.0 1.9449002399259792
0.0 58238739.006482646 828.7417950435183 5605721609.60257 0.010186364921483004 0.9998552404891893 -0.9865162381601166 -5.3325173421828005 2.061526459968608
0.0 39775759.20020391 786.4240466085284 9.1552734375e-05 1.6653345369377348e-16 1.0 -5.551115123125783e-17 -3.885780586188048e-16 -2.3585080312761066
1.0 40209065.83022704 792.5146638634615 1713891320.8637085 0.003373527414052724 0.9994694699812459 -0.9285945196711581 0.8988203835679898 -2.242441296362714
0.0 47221586.70388016 830.9405557150994 9.1552734375e-05 0.0 1.0 4.884981308350689e-15 -4.468647674116255e-15 -1.887158650251619
1.0 47102888.59122541 807.7089344614511 4234660556.220093 0.00816624461369625 0.9999999596525232 0.4615951957156472 -0.4886533552588693 -1.8479300957869265
0.0 62500142.097029425 847.3395410416593 6.103515625e-05 4.440892098500626e-16 1.0 -2.220446049250313e-16 -3.552713678800501e-15 2.1297968412657657
1.0 62496872.95013532 848.2979879551938 7524015724.832855 0.015685834593157644 0.9999957358430609 -0.8043477729910666 -5.378036402182046 2.0244003863762727
0.0 73126641.14053968 866.9744082003647 3.0517578125e-05 2.7755575615628914e-16 1.0 0.0 1.1379786002407855e-15 -2.2554522266668844
0.0 72941557.68367973 857.5425107625434 6121956930.28949 0.008449423899223457 0.9992922353179171 0.5309988257666014 -0.47123609250147286 -2.3362518282425273
0.0 67522708.85259193 869.4394210689355 0.00018310546875 3.0531133177191805e-16 1.0 5.551115123125783e-17 1.4432899320127035e-15 3.86508751589074
0.0 66989377.869539954 871.0563135353868 979903096.4620056 0.019952929354164928 0.999258654112161 -2.285512829009261 2.4454912833344125 -2.5552309860823117
0.0 37510846.590103954 803.8668124175518 6.103515625e-05 3.885780586188048e-16 1.0 -4.440892098500626e-16 0.0 -2.0839511980463667
0.0 37709008.903548636 804.7471846550666 5759284722.599731 0.029327225812848856 0.9988009338321172 0.41841564776935014 5.993110811487459 -2.221196994394439
0.0 67737791.1503135 866.694458711777 0.0001220703125 5.828670879282072e-16 1.0 0.0 1.1603565330808863e-14 -2.7843100601913386
0.0 67586690.46869192 860.3756233526041 11141036495.666656 0.035935047792300084 0.9999532635322277 0.1885147862527352 -0.3479411149473821 -2.5681559420941404
0.0 29715272.699775018 780.3673587194311 3.0517578125e-05 5.551115123125783e-17 1.0 0.0 -9.325873406851315e-15 -2.753719238504684
0.0 29749349.841031812 777.4165980238001 3661740708.6457214 0.0015464945918347017 0.9999982957804106 0.00626007356549918 0.029703699591643762 -2.8134469362790546
0.0 64192170.671303034 838.933041306531 0.0 3.0531133177191805e-16 1.0 2.220446049250313e-16 8.881784197001252e-16 2.6689559266158813
1.0 63945964.75499025 830.9407302681749 4213076260.1628723 0.00825518736203451 0.999968208127528 -0.5028589425473917 -5.803099714115072 2.690180738309036
0.0 70983733.43298498 871.406995666984 3.0517578125e-05 3.885780586188048e-16 1.0 1.6653345369377348e-16 2.7755575615628914e-16 -2.4333897722736393
1.0 70137091.39893365 867.1392122664942 6744091311.58197 0.017237748579642637 0.9998977224998451 -0.8291178720380553 0.8548229768795752 -2.600923250051447
0.0 76740941.71590723 842.9581105637379 0.0 4.440892098500626e-16 1.0 5.773159728050814e-15 -6.0923488476305465e-15 -2.2303001259394986
1.0 75906798.57505733 835.8528115617885 3872207391.73172 0.01451162510382703 0.9997059627572719 -5.658676723872089 -0.38760583240929675 -2.510955462771244
