Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 -169681560536.1404 180989781389.11304 -10210818279.841259 -12259.104454108048 8327.829102302316 869.9355581046663 67494414.87726262 857.6324282091916 165366413808.73657 209781294629.26886 -3653313346.8638396 -30127.819123499845 21320.0022498501 416.90205618507116
0.0 -94300929567.6565 155288593050.33405 10766371076.712952 -5502.264261453338 9132.42094180916 -541.5123274283466 38820821.96625915 795.7747559625323 -312635132053.6069 -158335090092.1631 478137713.95490116 19415.85865464336 -43105.469971212384 113.11489040390792
0.0 -65688187806.4758 99393246364.24141 12190445219.479969 -19262.828740973222 5570.235048034141 -404.7971031105333 73541068.63393179 872.532871242382 300162437808.7949 -146200930199.07513 -5722864003.889477 23290.68894262374 45433.913136493386 -2041.4291528290369
0.0 -12200438499.168732 92329916886.46658 5404202117.889579 1191.522282741018 12299.222553157806 116.58803515439294 76236584.72704205 850.8577412273129 31667791620.923492 -311826956630.69135 -6365535490.408664 46984.17386136715 2868.3504891267858 -1409.4099931552842
0.0 -46904126102.06174 51991210639.54702 6392997889.2393675 -5961.226913516253 8144.815214100974 -526.7175277335789 73752049.6483223 829.5011979310449 267855728407.1752 -186496324346.25314 -6054643641.949887 29624.864303405164 40234.39052765214 -1832.2120504315135
0.0 69355971772.70728 -11283939851.736343 8167329895.551614 11343.747379382261 3691.049585064473 -788.270007790594 71442018.79000312 866.636923201953 -215117013259.06555 -277927642268.78876 -2347940613.9137273 38794.12664238657 -32865.8002354189 -751.3597306475694
0.0 -263166150784.72162 -7973627517.259735 -3163975575.6896734 -11874.50103298529 -1196.3199491538453 129.4819081702915 47187072.56838895 823.1693453790357 -56598728194.32178 -248276516090.79282 -6103134634.0710535 34202.79056728714 -9608.549000591374 -614.7860239865608
0.0 -75776134907.26196 75447242244.93773 -5566581573.383148 -13964.348161164779 7855.547907781394 800.9784541843094 74834282.71825187 860.0233441699454 262435475099.16888 -172980855089.8542 -5783827185.569842 27794.46760629966 39064.36647072744 -1393.4183197192303
0.0 151102263477.5592 -108932851712.87863 -10841234057.855726 20084.868812195513 1336.0139809698994 804.5483459151451 63995535.83230486 871.9874455604044 -95741204891.1694 -342823891445.42114 -1290220619.5290089 48982.8735819603 -11748.58116397559 436.07312220802464
0.0 3545668174.492279 142322329373.23102 -3127098078.6182613 -259.30662339001356 8988.664577744814 -191.78372947578396 36889961.984447315 804.519783698063 -349978544740.73865 17557334396.25438 4064979787.4923577 -5534.574542245111 -45682.671765433886 795.7741946927981
