Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 69279439390.12946 -325323279680.62897 17660480649.10737 43298.26835297991 23433.777329643817 -1948.5046744365204 17976007.552474655 768.1330589210393 39651536134.80739 -223269848824.4182 -6682314242.200047 35098.673040451875 -1554.5075860561992 826.5427103513275
0.0 -88449514870.89087 112539324688.33691 -50456359128.78874 8718.479863678596 -8097.453081535135 -1932.9875070111227 55225795.89831233 810.5663559644156 -135280877381.39468 -280329361839.6636 1629214403.289097 46090.09639989226 -3775.1316171234776 4158.8115831165405
0.0 270121348657.99454 183195171008.20932 -6835009973.927906 -30671.61313874149 26177.87469859944 3271.1038796936477 60097494.7751929 833.3291632341343 -228573297922.55627 268663449910.0301 7835853332.665215 -38298.14732360733 -23063.736427994467 1595.1945350085628
0.0 13211889842.268494 -133522972309.7627 -12230367907.052858 19635.965384082665 -1951.084462982897 554.0816281312016 68592822.1412715 823.9012152636535 -290654463312.1803 -139685405334.43613 -211183734.3015675 10411.994981062748 -41627.535961597125 -549.0724700092907
0.0 -226394662322.28122 194863058476.32343 45443283971.17197 557.1450537991179 13854.576124198318 346.3060721042452 52237527.48509742 803.472491919037 -28024449518.573006 -69224760823.94933 -2036254248.2033422 712.2961180712846 6982.177538999817 -3118.18012715054
0.0 123202327054.61896 202563572857.50204 -1729990044.7301235 -25321.426259266256 -4444.2072208831305 5390.249999001787 76026037.32363471 837.0618552830576 -97938763338.25514 -19508463003.613464 1977535908.2398047 -7896.1410989888245 1063.7022496412465 -5569.68188524257
0.0 211497511345.1615 56859715991.14525 -3269762779.0450974 2347.345928058923 36341.70551010537 -3159.0654427778186 60619044.76717118 793.182055515207 -17667285688.45749 -299598280684.0848 -1100836668.3433208 42222.016843059195 9892.256332842288 -105.06588506526987
0.0 198644319007.95703 25062183701.942963 8945457874.235851 -21459.84850424617 24405.338103669525 -1021.023470795579 27482713.71866011 780.8264820264352 135084485947.09041 81760864648.07124 2714120460.683462 4013.471122158564 25654.706259543356 737.7593015027413
0.0 477687752106.79663 -54559323597.11824 10489401494.64672 -1324.96004226347 47495.5762590611 762.6846229682583 51159858.074556716 838.1151028845451 -19560358470.446987 385076486293.11194 5919270904.6012125 -53609.14021508032 -2195.303803773123 -1472.2351402310794
0.0 -335240126798.1161 -117055882218.82376 1620511557.756672 5115.582615822208 -44074.34661403291 -1729.4548993469584 49751179.93915265 816.2182257648633 186269483828.99268 -181196350730.69247 -5734351825.037437 29990.58331153112 22618.15165973275 654.1054404921119
0.0 -255289179750.59537 -299538042014.31006 2413877543.9958606 40279.821967414915 -31690.12458481662 -873.2638520248246 18615852.16234456 761.4239216544541 -91698010956.65102 -119221462870.0031 -5140179876.309605 5964.7334791270405 -19641.27165271293 -887.1413090344532
0.0 140686275021.99844 141583069102.34094 2327761692.001087 118.8917163280712 26965.88730560818 873.8650575418433 19547476.83472445 784.2974362362817 -311210773050.4104 155404498557.85483 7892635676.891115 -12235.496374409715 -43417.9951189556 -17.091662867555158
0.0 -151929675576.30463 -346502448681.42883 -3356025711.971303 51028.23703797296 -17050.25618867675 -246.7017401973768 67152735.87315062 831.9684736555208 -69837646288.46056 88241375621.37686 6092283788.322736 7500.952421457016 -7552.310739530669 414.90777222986105
