Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.0 -496022.493888855 -456482.14141845703 -8422389.785595894 2042.5105153761288 625.6058557156393 -10549.907322933293 47054917.841342956 840.8446970155387 -76409456864.84258 337796705887.5471 4070319195.0652514 -40467.80949712009 -18730.64761906297 6282.2685978449335
0.0 23727434747.1604 15790298381.90046 -3013781347.981003 2491.9195479951813 -8262.02518195253 729.5675314333034 55537791.538885206 852.4234325713273 121925564560.4971 -66168760801.166145 -3759450358.5060124 22286.507027704323 2170.4905670924127 672.3254550691394
0.0 1823636.8421020508 5250097.582046509 -2288648.2610149384 -2357.3717282460348 -11541.765307803573 -514.8113306135789 32236272.71827312 807.9128809623978 244665349391.03384 -76481719542.91461 -6574624934.606098 2362.1356932281997 31640.53969566947 617.2823435001345
0.0 -5164138.292663574 -542738.3973197937 -1588825.7366456985 2434.2186000618576 3064.0662230873895 -1632.8809320902124 62434861.939445555 841.4402906806937 -330052788667.5222 -197625594669.18567 3361829987.5781264 32328.33514524042 -40338.40387723345 1608.9139105306178
0.0 -3861301.9517211914 6115031.288455963 13415051.640723705 3535.5772729068176 1766.7961896634624 470.66956985461826 54118752.788385645 863.0512571842964 -298773757154.38696 -105174914480.78497 6722879142.549952 26734.05673943589 -31907.120387377374 -576.3787763219257
0.0 -10596588.054542542 553867.6864624023 430004.4885701388 73.87319958403896 7918.942455881314 208.2027655879179 65063623.18972995 851.2989950500813 -112598525679.96196 -347075139235.6283 -1510227753.156261 52383.09162704338 -4834.970373850424 -81.25159884869099
0.0 1752066.35030365 8227652.083221436 17873118.123497963 2042.351062232261 2926.356314052996 -8765.08068962401 39164041.21583354 799.0118250047425 -69853199109.56396 94073163239.89868 5636620720.769856 9219.88883806187 -7792.47407033912 5776.255941915366
1.0 452283.5230407715 4683317.551864624 -3787494.4930381775 551.7851411731208 431.02257848780937 1641.0047383586211 70952656.59206522 871.2704214684094 -30240471008.916283 -326488280481.4485 -5673211150.029286 48448.43163152648 -10014.866700094433 1468.2436631121436
0.0 -16874262.688720703 4063908.1266326904 -20178117.918445587 1748.538860899629 2490.189647266385 -11568.364816872161 38495241.09511176 813.936961891213 -146011724953.64548 145307710426.68152 5627218488.727218 -1672.8905196072883 -24510.41912074608 6131.373583760514
0.0 10174183173.02076 14035971576.01477 2541499360.9369316 935.0680604968293 8212.001129298354 582.1919820783459 50793472.12812295 874.8272668214024 -55495275346.9881 -81288546221.72089 1962152921.655945 4140.328956515932 12211.04788398466 -533.6248736181813
0.0 19999980975.959564 17697788004.812386 -2150825106.8844047 3551.0787479128962 -889.8931563812803 617.284012888102 21657745.273071162 792.4462749449826 48238749602.333176 380722293423.9619 4614851399.244795 -50148.16469926234 10610.921031730848 548.9311420550796
0.0 1496246.4316711426 -8767570.020576477 46462010.94088936 6048.650212941439 2234.5953766461244 5625.626909766009 59929827.23022 839.0854173103494 -394293937588.9547 55727722603.73915 6928321237.692982 -1377.776259225975 -49572.28721852301 -5867.817752344222
0.0 -4066997.2418518066 1381769.8782653809 869600.0500073433 11354.366151660024 11356.067245312446 548.0513961401673 34473896.85965269 796.6444879416364 -72023722947.88991 260597893444.56567 7995188257.785588 -27007.160662736223 7939.531407076674 254.65150595323098
0.0 11642025.121826172 22371054.01648712 26412468.17157221 2367.8397026921834 3165.1084526102823 1154.2923760051326 45326384.472470544 821.0429181326742 -225531919238.16803 -47741432178.07034 7693127039.2373905 21348.94547516679 -16661.161591822744 -1031.385046059935
0.0 412772.345413208 -1957263.6558532715 -4908868.5895700455 8266.345405947584 516.2860617090664 -2266.2622056646883 48710246.485075936 824.40382115224 -280347371821.275 90521913314.64764 7898847574.731944 7353.698735634267 -38442.69944785556 1143.31645146165
0.0 -1381364.8651428223 -6394129.39642334 -7901072.192134857 -1086.210165845132 1649.9731520788991 1481.6566642497703 74270763.53219818 891.691306390741 326909666492.39636 -74108896198.61841 -4814033432.710201 14826.239744292698 49481.59311977167 -2812.5091127918517
0.0 -1841274.0845031738 5631838.879455566 -2235710.4472596645 4052.122928398072 2841.223136110104 -976.7787835244819 43135440.932012066 845.1590493135944 -90697314680.53394 330007119523.97833 4244668453.881038 -38628.34845101165 -18025.951237847625 512.7229964907672
0.0 29328794.015075684 2647209.325958252 19889965.826169968 632.4584106817783 1968.9856360165977 -1716.5045251497172 67997203.79830687 858.4163367288577 -361244530684.01013 -38326456978.04953 3428375639.8770733 81.44673907843571 -47002.32262669032 3059.418168361217
0.0 -3018715.30758667 -2159083.656021118 -3374816.9130465984 2149.0925872310477 2560.5686900553083 528.0641317619853 32378732.93692848 803.364818009529 7038974138.195953 175174621473.5703 7648519597.574497 -14773.998778918636 19508.28366907208 282.06431215075145
0.0 11892308.091827393 -7600309.0333099365 8103584.780550957 3127.7707515317816 2084.1460855620862 -1364.8696434444623 61252389.95805242 891.1442946181608 -360474015973.25586 106833921272.6351 6185032885.061824 -16754.088424034526 -43374.06746018103 -1938.1368511701835
