Label Ep Ev t_t m_0 Delta_x Delta_y Delta_z Delta_vx Delta_vy Delta_vz
0.000000000000000000e+00 6.223307912437038609e-06 1.467568723218752869e-01 5.509349661829698874e-01 4.092347322168441437e-01 8.639020561566175260e-01 3.619010657265555597e-01 1.786983518532442305e-01 6.690445171534273872e-01 7.380861411105679171e-01 5.191035754990609430e-01
0.000000000000000000e+00 1.157783926890814247e-01 1.393600392300911039e-01 8.776332615352206989e-01 4.279469567845879396e-01 5.318084779919465266e-01 3.729611699837731553e-02 5.962752195751352957e-02 9.357723285326606799e-01 4.585372666441697720e-01 3.899419233131398155e-01
0.000000000000000000e+00 2.078227937709297129e-05 1.558561274146564035e-01 8.035150276735465447e-01 4.061604340602782415e-01 4.486208805529711130e-01 1.064645257859808680e-02 2.801242830645799264e-01 9.402512248075924894e-01 4.969936882449230153e-01 1.389518154322534893e-01
0.000000000000000000e+00 1.065494981206352304e-01 1.590728444305609668e-01 3.990993480684512651e-02 7.007448192538223708e-02 9.724566921795676500e-01 5.026159422486791151e-01 2.229652349223847918e-01 5.590238082424227040e-01 9.226159932825410692e-01 5.677082022400148364e-01
0.000000000000000000e+00 8.901986518199790584e-06 9.763777459803352210e-02 4.668409201427285438e-01 4.527962290533205092e-01 3.255738777686199015e-01 8.373224041046978261e-01 7.970159336146943607e-01 2.643557515107878286e-01 2.438526974716285489e-01 2.859816894141923305e-01
0.000000000000000000e+00 1.292013754813936701e-05 5.011330877598446643e-02 7.910325271952749482e-01 7.469409059644185334e-01 1.298881030761301902e-01 6.411189895037504582e-01 8.277204333693362059e-01 2.883536123060675971e-01 2.133402667778244721e-01 4.075791440312339642e-01
0.000000000000000000e+00 2.192085004248327156e-05 1.426632061658285044e-01 5.528450084801508346e-01 2.830823820125836221e-01 3.045477611453232258e-01 9.598675422576559146e-01 9.370946151951085046e-01 1.123638971180117574e-01 3.146872877358822262e-01 6.944505112653341916e-01
0.000000000000000000e+00 6.381849878637946283e-01 6.592279093685915470e-01 5.263300700862532100e-01 3.529813938358374870e-01 8.613865909046194425e-01 3.021654628995926739e-01 1.117855984623660759e-01 7.014217030347980053e-01 8.101273417589887060e-01 2.827539687730987739e-01
0.000000000000000000e+00 1.103023518430625988e-01 1.320232459460221053e-01 7.999665758477487731e-01 4.576582075598176758e-01 8.311472376996575928e-02 5.200218081446235097e-01 7.183823159240761980e-01 3.855782474411134086e-01 1.326837307186748971e-01 5.435119148281424284e-01
0.000000000000000000e+00 8.114953731564344963e-02 1.196365799666654212e-01 7.871050220818625043e-01 4.143904742119275397e-01 6.986780563899950280e-01 4.529555252499622986e-02 7.697420956266015635e-02 9.050905082650996247e-01 7.039701833351998950e-01 4.997255751280333391e-01
0.000000000000000000e+00 4.265765453496410120e-01 6.066109240124977209e-01 3.754150534830330010e-01 1.583431780260768917e-01 7.091377632829558575e-01 7.885236886520543553e-01 2.554224571712660485e-01 1.725257957197917080e-01 5.907917233973152271e-01 6.480264697822952780e-01
0.000000000000000000e+00 1.766638885952296099e-05 7.498398828410340888e-02 5.858900692040036606e-01 3.335009739008203411e-01 2.709008317659716836e-02 6.085377070234987418e-01 9.799498604780731981e-01 4.392652981953636959e-01 7.663391256790286210e-02 6.216185645154721495e-01
0.000000000000000000e+00 8.528594686853319118e-02 2.026585935149904927e-01 1.731386832313596691e-01 1.273078938722491671e-01 5.010383046780207961e-01 9.553767506701764667e-01 9.312508637271332823e-01 1.506256595071079341e-01 5.181622461515874578e-01 6.818295850640455624e-01
