Label Ep_x Ep_y Ep_z Ev_x Ev_y Ev_z t_t m_0 |Delta_a| |Delta_e| cos(Delta_i) Delta_Omega Delta_omega Delta_theta
0.0 -37871688052.230316 62424696645.266525 -8129299296.4678 -7498.066290627978 7177.885272098891 689.6656136533975 72428238.50889903 833.0577114061242 67542947436.770905 0.1278958958269063 1.0 8.881784197001252e-16 -0.2090331091606925 -2.384968735044665
0.0 -279718423389.55756 634777050.9082031 -8142147603.205393 -16300.23378324703 -6377.932126056542 37.77248319525091 72314083.50149405 850.6632634263875 120090136664.03494 0.25780552002913143 1.0 -3.219646771412954e-15 0.45151728798792473 1.5030851446291584
0.0 18856406189.09073 119489177028.60443 -1023205503.4014969 1999.4176379391356 8014.727627608764 -293.89855013246245 34292745.479641974 792.9657377876401 69727469586.10931 0.07730634422549498 1.0 0.0 5.4981424675921 -1.6143210634086416
0.0 -59971085323.904175 54691796833.56323 -15233791188.701588 -3481.545627676389 9473.586622214287 179.58488465864673 74928786.16838597 873.6532297942139 69757072238.6467 0.13888781532929761 1.0 2.220446049250313e-16 -1.5837231563953056 -0.4720697775673033
0.0 129887804634.32318 -36395261975.92268 -4790985771.411297 16809.72816088702 10684.627197590664 -387.1781842566171 69618125.03554885 845.6276818966076 62707466358.46756 0.009430567238879424 1.0 0.0 -1.1826559564173094 -1.5608254564736948
0.0 -55492845873.74173 141029871285.88782 -1635126743.6448722 -3053.7522229571578 8748.618104305728 -156.61697420512678 37117089.198165685 789.6714102473393 81017638200.31241 0.14054787918729522 1.0 -4.440892098500626e-16 -0.4849951618537669 -1.954062229540288
0.0 -64467019857.167206 -7935576978.430115 623123188.783576 -3805.2312632695143 5335.731406165305 228.7755223729631 76279326.65314656 846.3592654649261 72634968746.41446 0.1484588683366017 1.0 5.773159728050814e-15 -1.463935567666213 -0.6314522659591533
0.0 -119268041523.88724 156675265828.88852 -4206697631.970028 -7482.026750095543 9008.310619053833 335.3537592573105 39519578.928618066 795.0384243215558 90225825498.0122 0.18206655989391918 1.0 9.6710833785707e-16 -0.5460242065179953 -1.6950174657628463
0.0 114296626686.70235 -32313304162.92685 -1197664247.885142 15296.35565409386 3575.5423487358385 -189.87805161479196 66187272.61851945 828.3656092154432 57996581960.083466 0.03554494811785311 1.0 1.1102230246251565e-16 -0.32865341254751834 3.8736643091045564
0.0 40444450747.59164 118562893619.35153 -10252700611.333836 5906.172048035234 16169.785092076429 791.57139783407 76465655.41040522 863.2975279160701 70355854072.36093 0.07650478343606694 1.0 1.6653345369377348e-16 -1.7225749707777573 -0.12563519386927635
0.0 -260272900442.62503 102201520674.33037 14043967603.341015 -14829.373021494695 4358.810376117297 -666.7102856203117 69688633.95103824 861.0722163101353 114278082414.7602 0.2620205896012848 1.0 -6.439293542825908e-15 0.4543398522879931 1.3718354779193842
0.0 89844990708.65459 -28502827211.007843 -1031366039.3670471 13977.593065440204 4657.880496514386 50.72510731906792 67646696.26268935 819.6991247598024 58018266943.245575 0.05203733489074502 1.0 -3.3306690738754696e-16 -0.9229603660071378 -1.5666748770196839
